depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 5.829193 6.184067 6.456462 6.459011 6.735872 7.079282
0.170000 7.814136 8.129165 8.415285 8.434806 8.746158 9.144220
0.370000 4.640394 5.061707 5.383012 5.364725 5.658594 6.018578
0.570000 14.044890 14.490425 14.922875 14.900570 15.280861 15.718377
0.800000 17.760334 18.159051 18.432445 18.429201 18.704639 19.088908
0.930000 18.353836 18.756528 19.038803 19.050986 19.348760 19.771328
1.200000 22.917149 23.252941 23.565670 23.564831 23.854625 24.298665
1.400000 25.128999 25.494012 25.769365 25.764839 26.029094 26.410493
1.580000 29.253514 29.735072 30.073553 30.068765 30.413544 30.780479
1.820000 31.837877 32.286478 32.811648 32.776125 33.229642 33.687018
