depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.220000 6.634613 6.995781 7.284530 7.274904 7.540900 7.878355
0.300000 7.918993 8.271387 8.567599 8.586474 8.909415 9.312039
0.400000 8.748582 9.203985 9.555576 9.561245 9.923111 10.358198
0.730000 12.920316 13.281371 13.616610 13.659746 14.019405 14.691643
1.000000 13.770797 14.245158 14.725200 14.714729 15.165554 15.651914
1.100000 14.304256 14.999795 15.441751 15.423333 15.864520 16.350017
1.300000 15.300806 15.863217 16.287530 16.277793 16.695222 17.191919
1.700000 17.693887 18.270750 18.661042 18.665155 19.075235 19.655879
2.000000 20.469501 21.122404 21.660950 21.641564 22.144902 22.749931
2.200000 22.153418 22.826010 23.342892 23.352382 23.880880 24.596582
2.400000 23.603744 24.376883 25.048150 25.016687 25.636678 26.367118
