depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.525000 8.312096 8.732194 9.107239 9.107602 9.448048 9.975059
0.655000 9.823653 10.343580 10.755282 10.764897 11.159974 11.776582
0.755000 11.185302 11.721067 12.197742 12.154133 12.561572 12.984525
0.855000 12.256789 12.789447 13.108558 13.124805 13.462630 14.023788
0.955000 13.204515 13.652487 14.107829 14.144905 14.662896 15.227356
1.005000 13.637777 14.096962 14.546143 14.547535 14.984939 15.502652
1.105000 16.966902 17.407714 17.783005 17.771027 18.120760 18.558179
1.205000 17.339391 17.898636 18.312708 18.300001 18.688648 19.253435
1.505000 22.398548 23.030651 23.516924 23.524975 24.019093 24.708819
1.705000 27.018882 27.707231 28.269870 28.276551 28.855790 29.645586
2.205000 38.462051 40.738382 42.287064 42.264177 43.861877 45.740634
