depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.015447 0.092733 0.256042 0.287579 0.465221 0.767614
0.020000 0.076276 0.276430 0.497235 0.508916 0.723583 1.058702
0.220000 4.357948 4.773169 5.083809 5.073728 5.379694 5.732320
0.610000 8.625398 9.057655 9.378341 9.386409 9.726342 10.144293
0.710000 9.423311 9.793800 10.153129 10.163161 10.524089 10.995732
0.810000 9.937181 10.371017 10.732277 10.729682 11.067333 11.561903
0.900000 10.581647 11.042717 11.405576 11.409818 11.783971 12.272243
0.910000 10.600055 11.089078 11.443608 11.449138 11.824203 12.289416
0.960000 11.284785 11.724175 12.107500 12.081526 12.432827 12.734487
0.970000 11.304718 11.761337 12.139717 12.111035 12.458009 12.741656
1.070000 12.038629 12.571286 12.832249 12.821335 13.089246 13.455670
1.110000 12.411559 12.792880 13.045765 13.053662 13.319498 13.733832
1.170000 13.205176 13.537867 13.859085 13.903557 14.277732 14.826828
1.260000 13.979326 14.419585 14.886894 14.861399 15.267450 15.716001
1.270000 14.117494 14.651238 15.101804 15.070673 15.454344 15.908887
1.320000 15.036719 15.481517 15.841514 15.830791 16.174805 16.608141
1.410000 15.699654 16.137734 16.477392 16.473330 16.812983 17.230543
1.430000 15.935542 16.388760 16.720767 16.712161 17.030961 17.457564
1.560000 17.510760 17.983895 18.299961 18.289805 18.593650 18.978622
1.570000 17.886004 18.298416 18.609159 18.607377 18.915709 19.351865
1.630000 18.717754 19.042252 19.356229 19.369014 19.697977 20.089161
1.630000 19.001973 19.405396 19.752202 19.750177 20.087753 20.523202
1.810000 22.052480 22.446635 22.749582 22.762171 23.085127 23.549121
1.810000 22.202677 22.568538 22.888050 22.897667 23.225796 23.662393
