depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.060000 0.602870 0.869059 1.118971 1.130564 1.381550 1.753887
0.500000 5.254446 5.629861 5.896839 5.896640 6.168121 6.525084
1.050000 7.907153 8.223213 8.515045 8.538066 8.867418 9.266770
1.700000 10.266743 10.702084 11.072328 11.082570 11.463703 12.003209
2.000000 10.923858 11.373773 11.751390 11.749241 12.131288 12.505257
2.750000 12.240561 12.700198 12.936725 12.941437 13.200425 13.588931
3.100000 13.590027 13.975875 14.352094 14.371537 14.774775 15.199798
4.000000 15.204653 15.653527 16.008894 16.001124 16.353461 16.780754
5.000000 15.817640 16.284348 16.651665 16.642176 16.993652 17.459717
6.000000 16.475713 16.918233 17.241721 17.241128 17.588531 17.969195
6.700000 17.147541 17.562588 17.904225 17.888180 18.186584 18.575845
7.150000 20.127815 20.516805 20.843757 20.859152 21.212428 21.692172
7.550000 22.678424 23.068226 23.371940 23.371662 23.666035 24.053521
