depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.105000 3.792978 4.227412 4.561492 4.550683 4.867838 5.248111
0.155000 6.150370 6.482723 6.753258 6.752609 7.032981 7.321082
0.205000 8.498019 8.871845 9.196865 9.196720 9.491603 9.945304
0.255000 10.519124 10.953985 11.323479 11.325761 11.690962 12.150970
0.305000 12.406381 12.783355 13.020712 13.031525 13.290191 13.710599
0.355000 13.227534 13.563924 13.871059 13.913984 14.287883 14.805417
0.405000 13.535355 13.899298 14.258159 14.280857 14.676390 15.089469
0.455000 14.261908 14.807113 15.195482 15.171809 15.533370 15.957064
0.555000 16.914355 17.282921 17.588684 17.586558 17.899668 18.224722
0.605000 17.691180 18.088990 18.364140 18.356814 18.622894 18.979697
0.705000 19.179382 19.574735 19.894320 19.894632 20.213182 20.589454
0.755000 19.673548 20.079151 20.393592 20.392263 20.703073 21.123749
0.805000 20.387117 20.768849 21.097559 21.107787 21.456356 21.872239
