depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.220000 3.685753 4.094576 4.420851 4.413200 4.735527 5.137438
0.820000 10.457638 10.917754 11.298299 11.297525 11.677914 12.147296
0.940000 11.529801 12.017237 12.385883 12.345303 12.653953 12.965868
1.330000 12.884863 13.229463 13.512104 13.540936 13.844934 14.389356
1.450000 13.908394 14.344082 14.763774 14.748301 15.122953 15.558074
1.490000 13.970355 14.397811 14.846110 14.824031 15.224975 15.647384
1.590000 15.715798 16.134717 16.469761 16.466825 16.801831 17.189586
1.690000 17.471640 17.914378 18.224707 18.215272 18.528578 18.863629
1.820000 19.743410 20.160015 20.467141 20.465206 20.766004 21.184099
1.850000 20.142885 20.562151 20.895233 20.905924 21.258782 21.705294
2.410000 22.916473 23.255938 23.560417 23.559320 23.846360 24.260733
2.810000 26.305791 26.717973 27.073871 27.051015 27.349947 27.694470
