depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.005000 2.355950 2.754904 3.051967 3.052170 3.349443 3.763541
0.005000 3.108684 3.479006 3.786897 3.793713 4.112461 4.522275
0.885000 3.807012 4.250933 4.586347 4.577541 4.903938 5.273613
1.405000 7.412290 7.709298 7.968099 7.984099 8.247843 8.659174
1.665000 6.534147 6.871559 7.155127 7.146563 7.411335 7.747503
1.665000 9.149467 9.551849 9.859859 9.871183 10.190916 10.637050
2.005000 7.443205 7.746857 7.999981 8.012882 8.277036 8.692931
2.005000 8.561235 8.959785 9.280610 9.282979 9.600883 10.050474
2.245000 11.838989 12.351029 12.678078 12.651214 12.949971 13.293111
2.335000 13.396806 13.753702 14.105533 14.139594 14.552285 14.986985
2.705000 14.860266 15.341799 15.677231 15.672042 16.019632 16.417469
2.925000 16.283286 16.696892 17.027110 17.025845 17.350085 17.777657
3.245000 18.125471 18.440825 18.759197 18.760577 19.059206 19.454430
3.685000 21.808764 22.216596 22.493553 22.492718 22.773998 23.162435
4.045000 23.956613 24.346167 24.707808 24.698319 25.036949 25.432651
