depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 0.005990 0.038740 0.137063 0.182360 0.321054 0.605446
0.980000 4.726337 5.138182 5.456000 5.445683 5.750328 6.111500
1.100000 5.510878 5.864783 6.130625 6.135117 6.410467 6.778951
1.630000 8.209494 8.563400 8.883763 8.889036 9.216961 9.580410
1.900000 8.995507 9.426454 9.737257 9.746128 10.074222 10.506011
2.250000 11.161562 11.603455 12.007952 11.982801 12.366991 12.672570
2.575000 12.970098 13.301478 13.596108 13.629759 13.948666 14.541762
2.900000 15.522106 16.001675 16.355047 16.347688 16.707320 17.090620
3.100000 17.938697 18.318200 18.630416 18.631235 18.934390 19.383086
3.800000 22.718853 23.104916 23.409735 23.413129 23.706722 24.119459
4.200000 25.848831 26.223643 26.603632 26.594854 26.960071 27.329261
4.500000 27.495463 27.969610 28.389443 28.388130 28.807387 29.321521
4.630000 29.533925 30.040137 30.382526 30.377013 30.728054 31.069203
5.080000 31.821433 32.408223 33.037666 32.994069 33.536847 34.020584
5.425000 32.621768 33.776349 34.487464 34.472347 35.174808 36.097128
5.630000 34.936339 35.571420 36.096778 36.127670 36.676739 37.507577
6.180000 38.592125 39.645822 40.303441 40.243829 40.858404 41.460271
6.500000 40.291851 41.682633 42.518072 42.563347 43.566033 44.755267
6.800000 39.853064 42.062316 43.571411 43.613042 45.249728 47.301647
