depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.015000 0.012620 0.081545 0.243257 0.272024 0.445449 0.727084
0.235000 0.458822 0.729014 0.971890 0.985222 1.230009 1.588663
0.465000 2.554713 2.953245 3.260057 3.264671 3.573213 3.998611
0.645000 3.051835 3.445616 3.775976 3.781175 4.114074 4.540765
0.935000 7.880288 8.203064 8.487307 8.503681 8.814369 9.199987
1.095000 10.611823 11.082359 11.428821 11.436283 11.807133 12.293112
1.145000 11.005575 11.391125 11.761279 11.761628 12.149340 12.491357
1.215000 11.245104 11.666308 12.051567 12.026312 12.383703 12.667721
1.255000 11.324082 11.779744 12.151994 12.123024 12.461521 12.758872
1.315000 11.592980 12.080094 12.445179 12.408232 12.710441 13.063962
1.545000 13.747522 14.181782 14.620649 14.617966 15.041278 15.521939
1.625000 14.001812 14.441415 14.885468 14.858419 15.247744 15.668259
1.730000 14.992349 15.539984 15.934751 15.927814 16.319992 16.812732
1.865000 15.102464 15.607003 15.978135 15.970544 16.342765 16.798231
2.015000 15.585169 16.007798 16.340910 16.336545 16.671930 17.050821
2.265000 16.510423 17.030712 17.397070 17.391078 17.769934 18.173987
2.315000 16.767255 17.177476 17.486311 17.485080 17.798443 18.133790
2.405000 17.140414 17.544127 17.885548 17.866993 18.162893 18.554012
2.465000 17.951080 18.352001 18.680816 18.681593 19.011654 19.460804
2.565000 18.072012 18.405591 18.711558 18.712340 18.994906 19.390418
2.785000 19.708429 20.192095 20.564831 20.571609 20.943605 21.468784
2.865000 19.502437 19.914195 20.225354 20.222412 20.528805 20.924457
3.065000 20.722511 21.105925 21.451908 21.441939 21.775534 22.118161
3.145000 21.325402 21.883910 22.244499 22.227270 22.585213 22.983603
3.465000 23.517390 24.026009 24.433479 24.435527 24.852419 25.326239
3.465000 23.475555 23.955601 24.336307 24.338928 24.729717 25.169305
3.705000 25.217530 25.728696 26.080984 26.091367 26.490202 26.937766
3.905000 27.040255 27.454377 27.810215 27.834625 28.235558 28.694009
4.145000 28.877194 29.290218 29.667437 29.655077 29.995860 30.459016
4.145000 29.227463 29.721486 30.079542 30.075262 30.453584 30.818109
4.225000 29.386201 30.025635 30.442760 30.431698 30.845778 31.364702
4.505000 31.753806 32.470048 33.202511 33.151364 33.776368 34.360055
