depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.170000 0.088934 0.333479 0.559909 0.571141 0.805127 1.128872
0.290000 0.303264 0.580950 0.804239 0.819355 1.061083 1.383323
0.530000 0.501707 0.756905 0.999354 1.014069 1.258380 1.623291
0.650000 1.399194 1.742284 2.051571 2.060258 2.375390 2.746675
0.750000 0.940842 1.260534 1.526867 1.542905 1.827026 2.220503
0.890000 3.492815 3.879228 4.212601 4.210441 4.541691 4.933455
1.010000 3.394934 3.796640 4.118570 4.119100 4.445386 4.827798
1.230000 4.468811 4.887445 5.194922 5.187080 5.490595 5.836627
1.580000 6.773384 7.119365 7.392022 7.381343 7.635227 7.942885
1.860000 7.327243 7.631417 7.881798 7.891142 8.147182 8.509166
2.020000 9.161161 9.571758 9.890681 9.899464 10.221979 10.701891
2.300000 10.793730 11.264256 11.614697 11.620945 12.007258 12.405854
2.590000 12.552119 12.856575 13.110864 13.125056 13.388230 13.798752
2.780000 12.551864 12.860972 13.115372 13.123868 13.379779 13.761329
3.240000 13.887341 14.320226 14.732576 14.720145 15.100030 15.524047
3.280000 16.405154 16.831543 17.157793 17.159486 17.499034 17.891700
3.500000 18.339990 18.747761 19.029687 19.039837 19.345801 19.752212
4.120000 22.437339 22.800087 23.092784 23.100799 23.423475 23.729190
