depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.125000 0.210228 0.567546 0.864154 0.891024 1.204141 1.720277
0.298000 0.631694 0.934760 1.208147 1.224297 1.501884 1.930443
0.497500 2.353476 2.814355 3.150930 3.152856 3.496838 3.984489
0.695000 3.904129 4.510397 5.007544 4.992401 5.461532 6.011034
0.898000 5.007993 5.506847 5.840675 5.834539 6.164604 6.580903
1.110000 6.728379 7.174315 7.490917 7.484814 7.787775 8.208268
1.295000 7.634330 8.002824 8.298328 8.325483 8.663219 9.132979
1.410000 8.886871 9.388098 9.744841 9.759635 10.128820 10.659444
1.495000 9.645926 10.145868 10.532828 10.543080 10.961978 11.471787
1.695000 11.064618 11.559500 11.985757 11.968265 12.377907 12.737759
1.800000 10.884462 11.386622 11.832696 11.820750 12.264895 12.612714
1.895000 11.333823 11.909790 12.344857 12.299087 12.668400 13.080981
2.000000 11.705977 12.307781 12.730691 12.696008 13.063158 13.511758
2.085000 12.727568 13.166089 13.548476 13.595860 14.036970 14.748275
2.295000 13.333000 13.770634 14.209319 14.239315 14.728384 15.251783
2.495000 13.597154 14.042852 14.482118 14.493393 14.936583 15.444303
2.600000 13.792217 14.314433 14.820139 14.808755 15.287524 15.836142
2.800000 14.999682 15.595691 16.046103 16.037366 16.497395 16.989571
2.990000 15.523873 16.105599 16.533997 16.520855 16.936130 17.468795
3.295000 16.317719 16.909371 17.327417 17.323290 17.757945 18.211719
3.600000 16.967793 17.579092 18.066237 18.048936 18.504814 19.091487
4.000000 19.193851 19.754711 20.241528 20.249031 20.722991 21.367539
4.410000 18.160036 18.722001 19.149234 19.160214 19.613022 20.199688
5.210000 23.556013 24.081296 24.525273 24.530999 24.973344 25.517047
5.510000 21.864080 22.417712 22.841220 22.847250 23.301991 23.783834
6.310000 25.796731 26.205173 26.617508 26.613071 27.007273 27.449181
6.910000 24.674888 25.238169 25.643648 25.633577 26.031484 26.598213
