depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 6.237271 6.400816 6.546601 6.545790 6.687053 6.839150
0.170000 7.653853 7.880911 8.077291 8.081077 8.280332 8.531029
0.270000 8.090048 8.401536 8.737915 8.761385 9.135458 9.615528
0.370000 8.552034 8.950039 9.424296 9.481754 10.018133 10.838213
0.470000 9.724187 10.437735 11.782248 11.853734 13.302055 14.178079
0.570000 14.118847 14.481565 14.913302 14.867107 15.212835 15.501414
0.685000 15.788930 16.400510 16.842984 16.836274 17.313649 17.724151
0.800000 17.710079 18.023072 18.278836 18.260800 18.499757 18.682195
0.930000 18.768739 18.978597 19.245116 19.250829 19.505410 19.830448
1.065000 20.018687 20.557491 21.254152 21.274475 22.027179 22.740081
1.200000 22.968803 23.240323 23.503784 23.490703 23.733124 23.959667
1.300000 23.936290 24.315025 24.619488 24.621587 24.913115 25.321773
1.400000 25.336179 25.598619 25.786036 25.797578 26.003153 26.249504
1.490000 26.296414 26.909252 27.889211 27.902267 28.896932 29.505572
1.580000 29.350715 29.725422 29.999142 29.994705 30.241351 30.593450
1.700000 30.734697 31.089568 31.410553 31.417582 31.744153 32.169825
1.820000 32.358996 32.614824 32.875591 32.868783 33.107284 33.376271
