depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.220000 7.078598 7.240940 7.394018 7.392108 7.546996 7.675841
0.300000 8.007495 8.225452 8.442499 8.464160 8.715808 8.968585
0.400000 9.048754 9.295223 9.538156 9.548355 9.827906 10.085137
0.510000 9.852274 10.326476 10.991263 11.056954 11.849750 12.580811
0.620000 10.834318 11.843402 12.490634 12.403213 12.969827 13.330308
0.730000 13.001668 13.244787 13.458753 13.467197 13.703131 13.950283
0.865000 13.732839 13.944338 14.170460 14.183207 14.431943 14.714506
1.000000 14.432619 14.640861 14.853789 14.854805 15.066381 15.266592
1.100000 14.970409 15.188324 15.385516 15.384813 15.590365 15.782653
1.200000 15.464009 15.686347 15.894603 15.904088 16.139015 16.355787
1.300000 15.989352 16.182671 16.414086 16.419797 16.660330 16.891239
1.433333 16.588384 16.837724 17.134835 17.145453 17.436977 17.818319
1.566667 17.246110 17.588217 17.865070 17.885366 18.202872 18.554917
1.700000 18.167667 18.411982 18.707038 18.709186 18.985637 19.299835
1.800000 18.724778 19.072527 19.529446 19.593638 20.108765 20.808411
1.900000 19.408328 19.980278 20.616541 20.607491 21.238536 21.702401
2.000000 20.821458 21.198846 21.693333 21.655932 22.074122 22.389217
2.100000 21.566824 22.124531 22.564366 22.539471 22.953366 23.322189
2.200000 22.624545 23.041281 23.365550 23.358258 23.683429 24.062084
2.300000 23.388400 23.789954 24.124315 24.118527 24.456000 24.812131
2.400000 24.287882 24.572221 24.883888 24.896057 25.212830 25.591547
