depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.525000 8.790305 8.996910 9.179492 9.173000 9.348783 9.505575
0.655000 10.367680 10.573863 10.797737 10.793003 11.007397 11.204342
0.755000 11.577889 11.778299 11.986382 12.001387 12.232384 12.511545
0.855000 12.673280 12.879025 13.085122 13.085401 13.292674 13.478349
0.955000 13.633445 13.888746 14.144974 14.143828 14.393643 14.693658
1.005000 14.225365 14.531288 14.798370 14.809597 15.094907 15.433330
1.105000 16.871889 17.191030 17.500456 17.493658 17.807320 18.072751
1.205000 18.026353 18.285418 18.540812 18.556452 18.831314 19.184481
1.305000 18.920189 19.429467 19.936899 19.974016 20.496364 21.296195
1.405000 20.340976 20.933461 21.551507 21.562678 22.215936 22.895272
1.505000 22.641891 23.091430 23.491901 23.500349 23.921839 24.323987
1.605000 24.215377 24.942403 25.743353 25.743903 26.543282 27.377952
1.705000 27.283069 27.740714 28.211710 28.220391 28.695039 29.348073
1.830000 29.077558 30.072278 31.482982 31.911385 34.054249 36.827713
1.955000 31.187579 33.092000 35.346992 35.425983 37.799915 39.628865
2.080000 34.191645 37.137448 39.132903 38.854640 40.479113 41.766807
2.205000 39.970344 41.067711 42.059598 42.041403 43.006001 44.075437
