depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.085264 0.192338 0.289082 0.291680 0.394363 0.485898
0.020000 0.230969 0.326424 0.443187 0.445979 0.559721 0.690665
0.120000 1.054116 1.657125 2.747868 2.766235 3.884071 4.494689
0.220000 4.535972 4.830775 5.082957 5.075360 5.323511 5.551541
0.350000 5.699369 6.285039 6.771719 6.778575 7.310787 7.826416
0.480000 7.118777 7.732981 8.122174 8.101833 8.525073 8.895442
0.610000 8.852020 9.066642 9.285465 9.287461 9.496736 9.767617
0.710000 9.701827 9.877735 10.074872 10.073406 10.269335 10.450997
0.810000 10.440007 10.598635 10.788313 10.787343 10.980533 11.116944
0.900000 11.174275 11.322016 11.473352 11.469200 11.611770 11.735610
0.910000 11.286440 11.411470 11.563018 11.559290 11.701110 11.837617
0.960000 11.731539 11.854407 11.992025 11.996462 12.140095 12.287313
0.970000 11.822973 11.936509 12.075493 12.081639 12.229397 12.379286
1.070000 12.530527 12.719377 12.861591 12.850998 12.989927 13.122790
1.110000 12.881985 13.046182 13.187047 13.185959 13.324098 13.455610
1.170000 13.449748 13.637849 13.819122 13.832773 14.016455 14.296499
1.260000 14.468084 14.745695 14.957320 14.949230 15.159469 15.356426
1.270000 14.639312 14.906213 15.098950 15.096771 15.295228 15.490376
1.320000 15.299346 15.495079 15.685762 15.682281 15.872923 16.077312
1.410000 16.159945 16.332804 16.526579 16.526376 16.722591 16.906605
1.430000 16.402758 16.567964 16.751467 16.755346 16.938153 17.118889
1.560000 18.003732 18.184589 18.371065 18.367069 18.550752 18.702241
1.570000 18.195117 18.357634 18.554717 18.547387 18.725650 18.895069
1.630000 19.139425 19.314417 19.511568 19.516649 19.717721 19.907808
1.720000 20.138016 20.649142 21.348290 21.264830 21.823545 22.135107
1.810000 22.524500 22.658283 22.797677 22.794804 22.923750 23.055021
