depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.090000 0.021004 0.101736 0.210425 0.221004 0.348531 0.467765
0.220000 0.608765 0.896815 1.249282 1.252804 1.593978 2.014128
0.350000 1.872653 2.144524 2.416549 2.409846 2.667559 2.933806
0.483333 2.704734 3.201733 3.812774 3.878516 4.573423 5.440602
0.616667 3.709350 4.574468 5.407339 5.284227 5.926648 6.355837
0.750000 6.285699 6.502353 6.742236 6.743499 6.993748 7.209732
0.875000 6.940215 7.496361 8.108614 8.376693 9.370555 10.853271
1.000000 7.879398 8.772278 9.985698 10.041936 11.314053 12.354728
1.125000 9.069093 10.604837 11.863245 11.605758 12.514151 13.008164
1.250000 12.807282 13.020116 13.252084 13.264559 13.509354 13.767284
1.325000 13.387896 13.687757 13.981155 13.993739 14.298210 14.666043
1.400000 13.985846 14.280223 14.555972 14.561573 14.873743 15.090840
1.512500 14.480480 14.824802 15.106716 15.103572 15.392587 15.655993
1.625000 15.015226 15.328820 15.601092 15.596525 15.865366 16.123554
1.737500 15.538128 15.825421 16.084193 16.074500 16.330226 16.546766
1.850000 16.120688 16.350719 16.562814 16.560042 16.774950 16.980590
1.975000 16.647483 16.857838 17.071574 17.074115 17.301928 17.508971
2.100000 17.188711 17.402409 17.616627 17.616194 17.832724 18.052090
2.237500 17.800928 18.118280 18.586898 18.872051 19.680796 21.464302
2.375000 18.533141 19.107252 20.350407 20.457756 21.816639 22.830681
2.512500 19.581666 21.030578 22.523593 22.179159 23.176556 23.704194
2.650000 23.108963 23.493666 23.805336 23.789520 24.085912 24.403732
2.792857 23.855144 24.260618 24.759887 24.818768 25.404266 26.177638
2.935714 24.480373 24.943917 25.629161 25.688017 26.452662 27.123662
3.078571 25.088247 25.636147 26.501785 26.514071 27.351618 28.015324
3.221429 25.734001 26.421234 27.385560 27.313799 28.141800 28.723427
3.364286 26.532439 27.292461 28.230794 28.114082 28.834714 29.293958
3.507143 27.590676 28.409126 29.008487 28.934854 29.450392 29.879803
3.650000 29.132443 29.435552 29.794382 29.785787 30.095943 30.477556
3.788333 29.709687 30.084016 30.512052 30.586761 31.046865 31.961447
3.926667 30.213506 30.692998 31.215250 31.343035 31.955754 33.224402
4.065000 30.806606 31.297282 31.944816 32.096745 32.953547 34.150717
4.203333 31.317528 31.887175 32.717373 32.840803 33.791880 34.901981
4.341667 31.895925 32.578291 33.514640 33.577441 34.618598 35.534738
4.480000 32.529877 33.246205 34.266791 34.306350 35.391463 36.189135
4.618333 33.129366 33.984791 35.053688 35.037495 36.074245 36.798784
4.756667 33.832487 34.772568 35.840163 35.776607 36.752944 37.430009
4.895000 34.611784 35.611857 36.603748 36.509312 37.408273 38.038986
5.033333 35.370177 36.440677 37.346621 37.243426 38.027367 38.545912
5.171667 36.367668 37.302057 38.097888 37.986419 38.625032 39.106965
5.310000 37.558660 38.222065 38.812614 38.749853 39.251618 39.683110
5.390000 38.037983 38.702911 39.248598 39.203918 39.681177 40.076948
5.470000 38.539756 39.166452 39.662222 39.627944 40.104738 40.454489
5.610000 39.125840 39.710631 40.211304 40.189357 40.665375 41.088541
5.750000 39.668391 40.262242 40.749206 40.727922 41.205338 41.577779
5.890000 40.243733 40.808678 41.300443 41.266888 41.724177 42.072470
6.030000 40.846360 41.387011 41.840238 41.804935 42.235854 42.572867
6.170000 41.409605 41.966524 42.355630 42.336611 42.751407 43.028818
6.310000 42.140915 42.548184 42.894677 42.878684 43.235157 43.489088
6.450000 42.981019 43.193779 43.484097 43.485007 43.756628 43.965796
6.585000 43.669199 43.989252 44.317320 44.329857 44.672026 45.088541
6.720000 44.649925 44.871202 45.201371 45.214802 45.565470 45.873931
