depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 0.754169 0.892141 1.039729 1.036995 1.173026 1.300003
0.140000 1.448479 1.712278 1.939079 1.950270 2.172780 2.494491
0.250000 2.359851 2.599043 2.846513 2.847172 3.102927 3.333777
0.356667 3.102795 3.425177 3.853547 3.914204 4.432706 5.007069
0.463333 3.934774 4.531268 5.081666 5.038484 5.531460 5.859896
0.570000 5.681848 5.918374 6.141701 6.131895 6.356385 6.506971
0.650000 6.292115 6.567287 6.796807 6.790429 7.006136 7.262707
0.730000 7.101405 7.312926 7.496900 7.497954 7.704933 7.871645
0.810000 7.762807 8.112286 8.523720 8.528935 8.931511 9.322191
0.890000 9.298546 9.576111 9.822149 9.827988 10.081683 10.367802
0.970000 12.446548 12.694078 12.891097 12.887882 13.083040 13.319829
1.075000 13.616580 14.083984 14.536856 14.571690 15.089340 15.499958
1.180000 15.207287 15.528750 15.816909 15.798178 16.073919 16.298829
1.310000 15.910059 16.236959 16.577716 16.558197 16.869501 17.189815
1.440000 16.623405 16.939389 17.288581 17.287696 17.638150 17.940117
1.570000 17.393587 17.668699 18.025122 18.011387 18.342612 18.661046
1.700000 18.361399 18.612964 18.830575 18.842188 19.094110 19.328454
