depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.105000 4.222846 4.456455 4.658159 4.650925 4.846777 5.059810
0.155000 6.289360 6.476479 6.719650 6.731127 6.993429 7.217927
0.205000 8.537227 8.863701 9.202378 9.176933 9.463102 9.768820
0.255000 10.708034 11.039382 11.346641 11.355284 11.679039 11.959257
0.305000 12.572139 12.764365 12.930503 12.935616 13.104659 13.296857
0.355000 13.444614 13.592429 13.779578 13.779949 13.959135 14.135274
0.405000 14.095349 14.314421 14.525318 14.524557 14.736523 14.921477
0.455000 14.951089 15.164310 15.380038 15.376567 15.592336 15.776654
0.555000 17.093341 17.252100 17.426748 17.435587 17.620603 17.809916
0.605000 17.902749 18.091342 18.282781 18.291894 18.497920 18.671912
0.705000 19.386202 19.592177 19.780609 19.780038 19.973015 20.142547
0.755000 20.065428 20.267481 20.438789 20.436683 20.607369 20.805611
0.805000 20.893231 21.071372 21.233554 21.234811 21.403032 21.562272
