depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.005000 2.833359 2.972793 3.110671 3.110221 3.246617 3.380414
0.130714 3.076757 3.260539 3.407486 3.413983 3.577231 3.743499
0.256429 3.360189 3.526942 3.708585 3.710369 3.895414 4.072354
0.382143 3.620530 3.804516 4.007108 4.004047 4.199077 4.383529
0.507857 3.894829 4.087495 4.305339 4.302545 4.509418 4.703575
0.633571 4.177502 4.379874 4.608122 4.601111 4.818492 5.049869
0.759286 4.474970 4.667933 4.908638 4.900994 5.120436 5.398458
0.885000 4.791601 4.995735 5.214578 5.213695 5.428400 5.703920
1.015000 5.133618 5.446975 5.732409 5.774569 6.132355 6.530051
1.145000 5.651992 5.968432 6.412949 6.408717 6.844389 7.198389
1.275000 6.241574 6.737190 7.091742 7.048370 7.364385 7.614713
1.405000 7.110327 7.418186 7.608100 7.603025 7.809651 8.009701
1.535000 7.431371 7.697594 7.916370 7.919897 8.139572 8.359798
1.665000 7.793727 8.001703 8.248186 8.244668 8.479589 8.705168
1.778333 8.068815 8.277741 8.534131 8.530096 8.765979 8.985046
1.891667 8.388696 8.575199 8.826764 8.817679 9.045288 9.239700
2.005000 8.708726 8.928487 9.146280 9.136435 9.349468 9.495838
2.125000 9.188345 9.629563 10.660242 10.741858 11.922468 12.419429
2.245000 12.228963 12.537299 12.763168 12.757478 12.994592 13.222740
2.335000 13.345430 13.543434 13.829998 13.852270 14.154461 14.508867
2.458333 13.946586 14.204081 14.555811 14.570861 14.930860 15.281955
2.581667 14.516855 14.844911 15.174398 15.174443 15.501466 15.837123
2.705000 15.292674 15.507201 15.751981 15.761752 16.018439 16.257191
2.815000 15.765743 16.064927 16.350894 16.356406 16.643291 16.935752
2.925000 16.470310 16.721977 16.956255 16.965473 17.209761 17.522573
3.031667 16.938507 17.231318 17.556215 17.565754 17.899284 18.245178
3.138333 17.481285 17.819506 18.177402 18.160224 18.498068 18.815035
3.245000 18.284877 18.543251 18.780857 18.790017 19.042476 19.362570
3.355000 18.753509 19.150815 19.593582 19.690820 20.264555 21.153074
3.465000 19.253712 19.861410 20.620682 20.610379 21.327005 21.913449
3.575000 19.932558 20.908730 21.650517 21.535608 22.115769 22.492835
3.685000 22.001450 22.261289 22.507583 22.503300 22.743573 22.963574
3.805000 22.582136 22.932096 23.279708 23.287632 23.638943 23.987971
3.925000 23.291015 23.686909 24.027272 23.990295 24.290381 24.527737
4.045000 24.229770 24.440370 24.665404 24.656579 24.866658 25.058622
