depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 0.007119 0.034485 0.097841 0.109792 0.189843 0.267228
0.165714 0.368122 0.564684 0.800819 0.926084 1.310372 2.222904
0.301429 0.847045 1.129060 1.533686 1.690483 2.334908 3.038907
0.437143 1.398260 1.755320 2.385030 2.456027 3.219681 3.729235
0.572857 1.953661 2.445432 3.285066 3.219559 3.928519 4.304382
0.708571 2.675588 3.267630 4.124269 3.981669 4.572623 4.857340
0.844286 3.469884 4.298991 4.849111 4.742332 5.163700 5.427159
0.980000 5.034821 5.332991 5.528020 5.521973 5.723343 5.904754
1.100000 5.750900 5.947190 6.124992 6.126159 6.296159 6.516208
1.232500 6.278902 6.524589 6.789903 6.807232 7.085947 7.464791
1.365000 6.787619 7.154965 7.452274 7.463746 7.777580 8.140139
1.497500 7.476605 7.836066 8.111885 8.110373 8.383051 8.738462
1.630000 8.340412 8.535126 8.735225 8.748404 8.951577 9.254102
1.765000 8.867436 9.072999 9.325445 9.319128 9.554609 9.801906
1.900000 9.455197 9.662225 9.911371 9.904953 10.132734 10.346473
2.016667 9.931530 10.226900 10.526032 10.530528 10.829005 11.238860
2.133333 10.500297 10.849103 11.197270 11.201021 11.561650 11.881269
2.250000 11.265167 11.571197 11.890391 11.882923 12.195942 12.441195
2.358333 11.774790 12.136995 12.456777 12.457995 12.789378 13.147356
2.466667 12.382507 12.703321 13.014522 13.017595 13.329712 13.684154
2.575000 13.172650 13.369164 13.610373 13.629497 13.874325 14.205374
2.683333 13.681658 13.985006 14.388040 14.443552 14.911947 15.587912
2.791667 14.337031 14.812102 15.394069 15.353762 15.833105 16.278439
2.900000 15.778525 16.111920 16.398013 16.389694 16.676836 16.964633
3.000000 16.586570 17.048911 17.498074 17.512468 17.988676 18.453283
3.100000 18.042369 18.314785 18.569905 18.564310 18.812238 19.098757
3.240000 18.708738 19.082162 19.589049 19.663783 20.234452 21.097331
3.380000 19.376016 19.846370 20.639041 20.624185 21.419685 21.960540
3.520000 20.105918 20.675702 21.580399 21.516060 22.280393 22.655180
3.660000 21.055600 21.850000 22.528641 22.441333 22.989351 23.344067
3.800000 22.925788 23.163021 23.443616 23.447313 23.718473 23.996974
3.933333 23.576454 23.949967 24.405659 24.472904 25.017828 25.694492
4.066667 24.402814 24.921605 25.536754 25.502947 26.032919 26.494631
4.200000 25.958838 26.252206 26.554987 26.554528 26.867566 27.112168
4.300000 26.463301 26.827607 27.206030 27.207548 27.572509 28.052135
4.400000 27.088050 27.460171 27.848326 27.861383 28.257832 28.710045
4.500000 27.909442 28.229758 28.590367 28.598305 28.946981 29.403001
4.630000 29.617489 29.982980 30.256310 30.257104 30.560152 30.799904
4.742500 30.278635 30.699151 31.058757 31.079131 31.486740 31.948681
4.855000 30.872515 31.288692 31.755220 31.749487 32.202932 32.622054
4.967500 31.526189 31.890609 32.374692 32.355991 32.823100 33.164427
5.080000 32.130517 32.506094 32.975536 32.946229 33.367126 33.676397
5.195000 32.717958 33.086845 33.561510 33.525803 33.958751 34.284431
5.310000 33.303297 33.672349 34.126258 34.116511 34.530631 34.906246
5.425000 33.941165 34.317230 34.722451 34.717915 35.089569 35.511295
5.527500 34.557126 34.936182 35.343032 35.336778 35.728744 36.158795
5.630000 35.327641 35.617278 36.014135 36.028051 36.410284 36.833833
5.767500 36.000673 36.407195 37.016023 37.092330 37.800839 38.731760
5.905000 36.728361 37.296798 38.129220 38.163291 39.022435 39.647418
6.042500 37.700119 38.478946 39.310996 39.245611 39.974118 40.532853
6.180000 39.327296 39.807612 40.314717 40.304603 40.787323 41.171943
6.286667 39.988366 40.517237 41.038869 41.018853 41.512403 42.032076
6.393333 40.685185 41.192686 41.676977 41.661355 42.148602 42.613028
6.500000 41.430169 41.845478 42.291400 42.299155 42.717349 43.224872
6.600000 41.914870 42.347202 42.825842 42.842296 43.300240 43.859155
6.700000 42.461806 42.909611 43.381193 43.401213 43.912854 44.485281
6.800000 43.004525 43.504027 43.971131 43.996546 44.515092 45.118697
