depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.015000 0.013954 0.072695 0.167299 0.169623 0.265336 0.356592
0.125000 0.359421 0.484968 0.629065 0.635289 0.782836 0.968239
0.235000 0.817771 0.943635 1.105160 1.118793 1.278514 1.529185
0.350000 1.307865 1.628997 2.036714 2.055072 2.520093 2.867200
0.465000 2.478186 2.811254 3.031150 3.033822 3.278936 3.509656
0.555000 2.933488 3.256136 3.513188 3.504187 3.753672 4.016942
0.645000 3.505665 3.738303 3.980791 3.988250 4.251853 4.480791
0.790000 4.284658 4.828334 6.033007 6.072043 7.284284 7.902844
0.935000 8.035569 8.262226 8.511973 8.523698 8.787439 9.112080
1.015000 8.794618 9.197251 10.067302 10.033347 10.805085 11.239348
1.095000 10.833268 11.119927 11.338400 11.322857 11.533914 11.716380
1.145000 11.289800 11.490530 11.665290 11.661571 11.842023 11.978814
1.215000 11.707110 11.859215 12.019062 12.020405 12.184969 12.326908
1.255000 11.932177 12.076260 12.222505 12.229003 12.386876 12.510243
1.315000 12.238636 12.417150 12.569867 12.572107 12.723913 12.932042
1.430000 12.771006 13.129973 13.556294 13.560271 13.995953 14.368316
1.545000 14.002874 14.230723 14.494715 14.490796 14.739369 14.976131
1.625000 14.548065 14.753146 14.947760 14.944299 15.131502 15.321170
1.730000 15.077877 15.268274 15.449737 15.443854 15.621288 15.794610
1.865000 15.596197 15.752375 15.909569 15.916625 16.090868 16.255299
1.940000 15.866470 16.027192 16.205622 16.199975 16.363263 16.535722
2.015000 16.171976 16.319500 16.489271 16.485516 16.646029 16.822079
2.140000 16.619519 16.791574 16.967655 16.966135 17.137849 17.309661
2.265000 17.158385 17.314280 17.458734 17.450925 17.589233 17.720302
2.315000 17.400399 17.528350 17.667909 17.665384 17.790325 17.934023
2.405000 17.814575 17.954820 18.070743 18.072869 18.191479 18.345605
2.465000 18.148266 18.259991 18.379215 18.390007 18.522756 18.697021
2.565000 18.539012 18.697883 18.859459 18.862719 19.024704 19.218524
2.675000 19.039863 19.257832 19.461073 19.476171 19.707462 20.000730
2.785000 19.651885 19.867483 20.074601 20.085133 20.313468 20.541451
2.865000 20.025570 20.229128 20.436851 20.442102 20.656643 20.856491
2.965000 20.482452 20.717869 20.965222 20.958818 21.200570 21.430863
3.065000 21.091086 21.319031 21.547450 21.541861 21.765507 21.948502
3.145000 21.616899 21.895358 22.133799 22.134487 22.379524 22.650895
3.251667 22.139666 22.500837 22.871160 22.894321 23.308614 23.676100
3.358333 22.716144 23.230136 23.643316 23.614202 24.008026 24.322605
3.465000 23.917989 24.131094 24.370806 24.377884 24.621146 24.858939
3.585000 24.587299 24.901138 25.200806 25.211793 25.517077 25.908312
3.705000 25.475071 25.810709 26.095760 26.102604 26.389528 26.764573
3.805000 26.165863 26.556947 26.919254 26.929686 27.306054 27.718111
3.905000 27.208796 27.499984 27.776296 27.796074 28.109202 28.435301
4.025000 28.043345 28.435093 28.862442 28.830853 29.180288 29.545590
4.145000 29.426469 29.700839 29.884187 29.872325 30.038752 30.222893
4.225000 30.066114 30.275352 30.525000 30.527664 30.765961 31.023432
4.365000 30.847675 31.311900 31.805012 31.793299 32.265388 32.746142
4.505000 32.033252 32.467681 32.972549 32.927536 33.364796 33.738328
