depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.170000 0.127980 0.244757 0.360434 0.355620 0.462924 0.573122
0.290000 0.485669 0.582988 0.706044 0.706379 0.830252 0.940029
0.410000 0.748650 0.882191 1.025972 1.023708 1.161106 1.315217
0.530000 1.058015 1.185884 1.323570 1.328943 1.475813 1.632483
0.650000 1.428030 1.584625 1.741358 1.744552 1.904112 2.062242
0.750000 1.730366 1.886136 2.061251 2.078271 2.265121 2.612653
0.890000 3.356260 3.618500 3.889053 3.865236 4.107566 4.319631
1.010000 3.964882 4.152514 4.337973 4.344386 4.544522 4.753828
1.120000 4.390092 4.583147 4.794467 4.794500 5.013598 5.201930
1.230000 4.880915 5.065756 5.267919 5.275194 5.483064 5.689469
1.346667 5.344349 5.593202 5.908327 5.933162 6.287948 6.602241
1.463333 5.900294 6.270059 6.610207 6.588474 6.897509 7.139594
1.580000 6.736921 6.955246 7.185786 7.174040 7.377627 7.574028
1.720000 7.227473 7.425641 7.643713 7.643926 7.871082 8.087895
1.860000 7.731091 7.921719 8.125132 8.128176 8.325956 8.586437
1.940000 8.134402 8.450521 8.832061 8.881792 9.348111 9.866371
2.020000 9.260232 9.535247 9.796823 9.810743 10.100523 10.385455
2.160000 10.152583 10.483884 10.830040 10.818970 11.142107 11.463555
2.300000 11.121484 11.370348 11.616359 11.600521 11.838670 12.026447
2.445000 11.797815 12.051265 12.256212 12.250423 12.458728 12.688818
2.590000 12.473743 12.681036 12.824251 12.829682 12.990507 13.181505
2.685000 12.756048 12.957214 13.122246 13.122665 13.294732 13.466901
2.780000 13.070840 13.240464 13.416981 13.414026 13.587718 13.746698
2.895000 13.452941 13.649653 13.847590 13.859988 14.065467 14.371901
3.010000 13.845365 14.075593 14.312106 14.323564 14.558602 14.917205
3.125000 14.293064 14.562304 14.810095 14.825282 15.098490 15.454901
3.240000 14.946629 15.164072 15.430509 15.446483 15.707723 16.147893
3.280000 16.076099 16.448453 16.735523 16.710690 16.986163 17.191798
3.390000 16.908045 17.424814 17.881308 17.897237 18.403012 18.862009
3.500000 18.445888 18.738377 18.960192 18.975420 19.237034 19.506488
3.624000 19.010376 19.410734 19.832335 19.896957 20.426407 21.120127
3.748000 19.549021 20.078181 20.715649 20.725200 21.412461 21.848271
3.872000 20.270611 20.907311 21.611783 21.520285 22.053132 22.453695
3.996000 21.226383 22.001792 22.390487 22.320443 22.664053 22.959350
4.120000 22.754411 22.915739 23.081309 23.087355 23.253627 23.461527
