depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.300000 5.643912 5.815116 5.993762 5.987011 6.160423 6.314064
0.400000 6.383625 6.774115 7.410175 7.560694 8.412826 9.467078
0.500000 7.312054 8.293860 9.396331 9.248678 10.109612 10.604143
0.600000 10.396767 10.728120 11.023327 11.022859 11.315752 11.649840
0.700000 11.440513 11.996110 12.555521 12.575005 13.152093 13.766570
0.800000 13.481429 13.705070 13.955093 13.975874 14.253825 14.615767
0.900000 14.368707 14.661991 14.984293 14.999241 15.335801 15.719663
1.000000 15.368816 15.655031 15.949874 15.951829 16.232318 16.578507
1.133333 16.265834 16.720092 17.397201 17.450878 18.135983 19.179331
1.266667 17.354360 18.244468 19.133198 19.049443 19.783013 20.474884
1.400000 20.147709 20.470989 20.773440 20.787930 21.105448 21.520123
1.533333 21.327786 21.953100 22.933769 23.177528 24.683039 25.770910
1.666667 22.609212 24.134000 25.708337 25.364359 26.378399 26.754805
1.800000 26.543013 26.886371 27.110065 27.084104 27.286517 27.505731
1.900000 27.146594 27.386174 27.609517 27.604345 27.824979 28.051138
2.000000 27.673675 27.873080 28.081462 28.086297 28.300817 28.517763
2.128571 28.089422 28.323407 28.602921 28.611897 28.907440 29.178377
2.257143 28.497376 28.811940 29.162301 29.150435 29.490049 29.795197
2.385714 28.933485 29.288513 29.669497 29.678362 30.065246 30.412608
2.514286 29.456565 29.775865 30.223259 30.212219 30.632419 31.028667
2.642857 29.902119 30.272849 30.730819 30.736842 31.198272 31.653537
2.771429 30.434297 30.808566 31.257009 31.281343 31.792629 32.219345
2.900000 30.991463 31.357350 31.790108 31.845298 32.408541 32.788017
