depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.020000 0.470627 0.544873 0.635698 0.640546 0.735869 0.838989
0.030000 0.530205 0.608005 0.702148 0.709750 0.813342 0.919302
0.174000 1.010540 1.257216 1.511436 1.570211 1.858463 2.503585
0.318000 1.585539 1.968353 2.320512 2.393140 2.850694 3.424415
0.462000 2.316361 2.703672 3.153146 3.192892 3.705368 4.209048
0.606000 3.150888 3.571671 4.033504 4.033153 4.504281 4.904662
0.750000 4.344346 4.672765 5.026128 5.020603 5.357937 5.698238
0.883333 5.031665 5.590628 6.311678 6.708361 7.915828 10.592347
1.016667 5.970263 6.719680 8.241444 8.507591 10.339059 12.364406
1.150000 7.007843 8.433644 10.460768 10.419513 12.457153 13.528913
1.283333 8.406917 10.344147 12.464916 12.224619 13.932991 14.494335
1.416667 10.836754 12.929867 14.307640 13.958285 14.868117 15.290199
1.550000 14.527473 15.051926 15.386206 15.356129 15.659504 15.983110
1.666250 15.206480 15.614432 15.938032 15.928516 16.248846 16.538310
1.782500 15.788794 16.157121 16.471571 16.470654 16.802743 17.084507
1.898750 16.408715 16.732371 17.025209 17.021407 17.314152 17.597567
2.015000 17.119015 17.374822 17.644135 17.643084 17.899647 18.124208
