depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 3.485961 3.746434 4.055818 4.058285 4.366050 4.666396
0.100000 4.630800 5.285254 6.420478 6.504203 7.785353 8.467413
0.200000 8.601425 8.920480 9.207960 9.209107 9.477063 9.894888
0.275000 9.804957 10.478923 12.024482 11.864545 13.118509 13.607643
0.350000 13.342906 13.586692 13.838498 13.849254 14.116271 14.438351
0.466667 14.025544 14.352601 14.702522 14.713527 15.065552 15.488905
0.583333 14.753222 15.086256 15.502963 15.505246 15.917759 16.410433
0.700000 15.504830 15.869631 16.276695 16.304257 16.769327 17.216472
0.812500 16.411931 16.832639 17.278440 17.297120 17.775936 18.237074
0.925000 17.310437 17.840919 18.334681 18.322618 18.786189 19.224508
1.037500 18.334202 18.972498 19.359602 19.337058 19.731515 20.087125
1.150000 19.621205 19.992771 20.324865 20.306190 20.627223 20.887832
1.262500 20.229579 20.604350 20.965535 20.968371 21.334424 21.701722
1.375000 20.867829 21.241390 21.622927 21.628182 22.003079 22.355401
1.487500 21.584964 21.902830 22.276110 22.295500 22.678217 23.045642
1.600000 22.396749 22.642065 22.955632 22.994393 23.373304 23.720924
1.733333 23.456738 24.060604 25.483166 26.508167 29.972475 32.376878
1.866667 25.010362 27.321152 31.732322 30.861636 33.564119 34.235985
2.000000 34.590068 34.794373 35.026857 35.027919 35.253979 35.491669
