depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.125000 0.487068 0.624197 0.769494 0.770973 0.912252 1.089262
0.211500 0.774066 0.903060 1.053987 1.060495 1.219498 1.460502
0.298000 1.043763 1.188741 1.359053 1.383835 1.589473 1.837795
0.397750 1.375941 1.695200 2.163742 2.190550 2.693951 3.185461
0.497500 2.516711 2.850894 3.123167 3.129448 3.410279 3.747331
0.596250 3.179285 3.522152 3.968357 3.986619 4.466992 4.837354
0.695000 4.111175 4.474173 4.840763 4.815337 5.134214 5.410317
0.796500 4.651522 5.072363 5.364200 5.359428 5.654141 5.913371
0.898000 5.467995 5.675539 5.915285 5.923086 6.165052 6.430625
1.004000 5.927352 6.299953 6.655438 6.670697 7.074272 7.387135
1.110000 6.919595 7.202729 7.420795 7.417273 7.643450 7.893648
1.202500 7.438868 7.674895 7.909539 7.922345 8.184273 8.509122
1.295000 7.969534 8.165629 8.414631 8.439212 8.698658 9.043270
1.410000 9.227790 9.484340 9.770627 9.769677 10.055538 10.306015
1.495000 9.894299 10.200648 10.445568 10.455275 10.722345 11.018521
1.595000 10.474113 10.771072 11.096104 11.098785 11.439244 11.776784
1.695000 11.181779 11.400662 11.666957 11.669694 11.947390 12.148125
1.800000 11.626831 11.834972 12.079026 12.068508 12.298364 12.437665
1.895000 12.015409 12.245471 12.457340 12.437959 12.623190 12.777245
2.000000 12.483035 12.676805 12.867744 12.857256 13.037173 13.223573
2.085000 12.855259 13.055014 13.273556 13.281130 13.509193 13.746404
2.190000 13.190169 13.414045 13.667618 13.671613 13.947578 14.179454
2.295000 13.535318 13.768641 14.021344 14.023990 14.281435 14.522197
2.395000 13.847464 14.065162 14.332568 14.330258 14.586870 14.829256
2.495000 14.142531 14.383398 14.644860 14.637517 14.875558 15.124349
2.600000 14.493410 14.748260 15.014329 15.003881 15.248371 15.496229
2.700000 14.827830 15.124687 15.435091 15.422739 15.701420 15.955369
2.800000 15.276796 15.568967 15.857334 15.839211 16.102518 16.306633
2.895000 15.600253 15.912202 16.175245 16.163872 16.423808 16.647440
2.990000 15.965599 16.218331 16.465194 16.454260 16.699245 16.891780
3.091667 16.251552 16.503781 16.755249 16.744873 16.977271 17.211506
3.193333 16.549499 16.789615 17.035026 17.029657 17.256430 17.496474
3.295000 16.877867 17.090231 17.323678 17.318071 17.535325 17.785608
3.396667 17.169423 17.361200 17.597247 17.603368 17.825253 18.132195
3.498333 17.435490 17.638098 17.872864 17.881829 18.101957 18.381404
3.600000 17.712236 17.928275 18.160117 18.160078 18.383794 18.648384
3.733333 18.042398 18.285338 18.516039 18.527614 18.779625 19.068410
3.866667 18.406083 18.605283 18.874042 18.884513 19.165181 19.479386
4.000000 18.742394 18.957187 19.226791 19.246947 19.549977 19.869939
4.136667 19.013575 19.236353 19.518008 19.533973 19.830442 20.171154
4.273333 19.258426 19.524907 19.793203 19.817529 20.121035 20.467879
4.410000 19.555113 19.804994 20.085449 20.109307 20.426846 20.788062
4.543333 19.886218 20.164050 20.511983 20.580860 20.987198 21.756078
4.676667 20.215199 20.593648 21.047400 21.126755 21.655726 22.380742
4.810000 20.670873 21.071667 21.675486 21.708788 22.361683 22.867547
4.943333 21.171692 21.716871 22.347241 22.308893 22.899814 23.293755
5.076667 21.803428 22.380978 22.870981 22.855481 23.362749 23.645402
5.210000 22.468825 22.978047 23.348787 23.333682 23.748600 23.988488
5.310000 22.729604 23.204522 23.566938 23.558816 23.955539 24.215315
5.410000 22.959809 23.394440 23.769971 23.766553 24.156443 24.410047
5.510000 23.213347 23.613601 23.981566 23.973124 24.354996 24.607338
5.643333 23.567479 23.943090 24.296183 24.288960 24.646347 24.901944
5.776667 23.885457 24.272920 24.632245 24.606446 24.931231 25.173131
5.910000 24.222462 24.622296 24.951008 24.925001 25.222199 25.468707
6.043333 24.607787 24.963621 25.271570 25.244787 25.518647 25.721848
6.176667 25.006111 25.308030 25.582314 25.559527 25.796233 26.009675
6.310000 25.354019 25.642901 25.891995 25.866650 26.080482 26.260462
6.430000 25.583307 25.869286 26.100845 26.087791 26.313706 26.511849
6.550000 25.784522 26.082857 26.316789 26.303551 26.512189 26.733346
6.670000 26.038819 26.311958 26.533127 26.521587 26.727575 26.958209
6.790000 26.273360 26.527430 26.735297 26.736549 26.939575 27.182758
6.910000 26.581287 26.787265 26.978146 26.979955 27.175657 27.415120
