depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.050000 2.338217 2.517124 2.714036 2.707492 2.892682 3.064654
0.150000 3.360029 4.011152 5.024155 5.075404 6.212747 6.904318
0.250000 7.382893 7.598998 7.811738 7.818752 8.037794 8.316071
0.350000 8.777053 9.497182 11.320397 11.153527 12.676204 13.206004
0.450000 13.209200 13.463840 13.716845 13.715486 13.979652 14.208943
0.550000 13.767766 14.041354 14.345654 14.357298 14.685816 15.002556
0.650000 14.332018 14.666081 14.996589 14.992760 15.309163 15.679520
0.750000 15.086502 15.319662 15.601036 15.621958 15.915028 16.277999
0.875000 16.004793 16.437800 16.931924 16.964753 17.453306 18.179241
1.000000 17.060721 17.694865 18.440264 18.399979 19.090122 19.751175
1.125000 18.499450 19.422856 20.065621 19.982183 20.470764 21.025993
1.250000 21.189308 21.448988 21.668236 21.665206 21.887289 22.058265
