depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 2.073243 2.797234 3.164050 3.100386 3.454724 3.693251
0.030000 3.074021 3.256213 3.501828 3.503498 3.741727 4.011297
0.070000 3.546005 3.845906 4.219290 4.300840 4.748366 5.644829
0.100000 3.951929 4.312051 4.863591 5.025499 5.788870 6.741433
0.130000 4.450821 4.930913 5.940172 5.932623 6.806985 7.827898
0.170000 5.267306 6.312852 7.394618 7.417445 8.552857 9.557165
0.200000 6.155625 7.354262 8.423216 8.451458 9.660588 10.496966
0.230000 7.902635 8.739984 9.987390 9.978406 11.222202 12.073663
0.270000 10.426198 11.434458 12.093317 12.020764 12.621978 13.106717
0.300000 11.736635 12.323164 12.757545 12.748926 13.186765 13.666304
0.330000 12.659119 13.060910 13.394082 13.421778 13.792816 14.324682
0.370000 13.477584 13.833919 14.160908 14.184936 14.550366 14.963829
0.400000 14.171094 14.486280 14.895798 14.905569 15.323580 15.670688
0.430000 14.780287 15.453322 16.147951 16.125441 16.709815 17.434939
0.470000 15.343327 16.076170 16.671786 16.674897 17.254162 18.021367
0.500000 16.143361 16.635856 17.090109 17.176723 17.785191 18.521344
0.530000 16.764741 17.125166 17.573139 17.677772 18.287310 19.021362
0.570000 17.258789 17.646572 18.088804 18.227473 18.870273 19.734169
0.600000 17.623798 18.036583 18.503918 18.642541 19.299702 20.132247
0.630000 18.040660 18.395168 18.894676 19.042133 19.768677 20.556004
0.670000 18.512846 18.879932 19.421682 19.559465 20.367357 21.077900
0.700000 18.857021 19.234963 19.849240 19.959549 20.777339 21.454145
0.730000 19.166898 19.567772 20.230486 20.337791 21.172184 21.885702
0.770000 19.649515 20.065433 20.725998 20.831277 21.671731 22.396168
0.800000 19.977697 20.406152 21.106932 21.204241 22.061519 22.789520
0.830000 20.296217 20.769836 21.459067 21.587308 22.471039 23.327075
0.870000 20.783399 21.253900 21.984530 22.121830 23.074989 24.104260
0.900000 21.135799 21.673163 22.416616 22.582668 23.634312 24.568517
0.930000 21.512350 22.084897 22.909289 23.074791 24.241647 24.972594
0.970000 22.064113 22.688843 23.776861 23.785110 24.876984 25.502627
1.000000 22.598913 23.284886 24.369961 24.350160 25.362714 26.003706
1.030000 23.059890 23.977650 25.003425 24.935252 25.870732 26.482942
1.070000 23.779090 24.878833 25.781246 25.752159 26.633705 27.599784
1.100000 24.391351 25.567883 26.423146 26.419813 27.264935 28.368124
1.130000 25.237462 26.263799 27.177151 27.192097 28.200376 29.029639
1.170000 26.287494 27.158780 27.943992 28.097050 29.204859 30.012002
1.200000 26.743866 27.595559 28.668580 28.690516 29.829023 30.609200
1.230000 27.127113 28.023367 29.335362 29.217770 30.366100 31.175905
1.270000 27.685721 28.611969 30.096975 29.888527 31.025021 31.809332
1.300000 28.137656 29.099270 30.628747 30.380457 31.488490 32.247180
