depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.050000 3.719566 5.222489 6.209811 5.964739 6.645925 6.945702
0.100000 4.621128 5.820749 6.587568 6.395744 6.937068 7.202765
0.150000 5.591049 6.487940 6.947242 6.841562 7.237381 7.474935
0.220000 6.998815 7.206326 7.419782 7.420590 7.636247 7.847843
0.260000 7.255925 7.454211 7.716973 7.731962 8.004150 8.366484
0.300000 7.472110 7.709366 8.008514 8.059808 8.428816 8.903467
0.350000 7.736676 8.039161 8.424719 8.508859 8.982832 9.650241
0.400000 8.049421 8.420121 8.864306 8.978783 9.574963 10.302223
0.500000 8.670136 9.176724 9.896341 9.935593 10.726375 11.416237
0.575000 9.235923 9.810707 10.675242 10.636690 11.442839 12.051751
0.650000 9.847304 10.612442 11.449057 11.382957 12.095957 12.636578
0.730000 10.968114 11.794062 12.370905 12.334263 12.912752 13.397056
0.820000 11.959044 12.610122 13.153435 13.139335 13.674147 14.168908
0.910000 12.651835 13.236158 13.768254 13.757358 14.315080 14.785828
1.000000 13.312161 13.846819 14.350343 14.358895 14.889688 15.382939
1.100000 13.945506 14.508481 15.065706 15.093933 15.651960 16.411921
1.200000 14.697049 15.255478 15.838453 15.883960 16.510108 17.305838
1.300000 15.639534 16.083667 16.611532 16.717194 17.310967 18.378579
1.400000 16.332871 16.847430 17.495422 17.587274 18.343209 19.454412
1.500000 16.989327 17.598578 18.359288 18.429083 19.273835 20.317538
1.600000 17.570366 18.315380 19.191591 19.248989 20.197798 21.130048
1.700000 18.158004 19.026994 19.985602 20.010028 21.057909 21.734089
1.840000 18.988748 19.920680 21.057120 20.989552 22.049021 22.740226
1.980000 19.905577 21.010797 22.056433 21.948551 22.946612 23.560639
2.120000 20.951960 22.050504 23.047666 22.913416 23.762647 24.267243
2.260000 22.330892 23.238204 23.944278 23.886530 24.527667 24.998783
2.400000 24.103115 24.528825 24.977500 24.962719 25.408182 25.761281
2.500000 24.744548 25.240639 25.869727 26.105326 26.948479 28.695998
2.600000 25.271812 25.925830 26.978329 27.278439 28.784987 30.650896
2.700000 25.740861 26.495511 27.854035 28.207314 30.110185 31.972630
2.800000 26.242607 27.079886 28.755604 29.107699 31.286475 33.473751
2.900000 26.917219 27.649352 29.683992 30.004090 32.414990 34.563102
3.000000 27.467661 28.232215 30.555794 30.855214 33.450884 36.417507
3.100000 27.978398 28.832424 31.476438 31.716714 34.497523 37.862964
3.200000 28.526010 29.431556 32.390308 32.616672 35.807192 39.258038
3.325000 29.114507 30.247703 33.423046 33.727729 37.232562 40.742216
3.450000 29.755878 31.018133 34.223054 34.776367 38.815463 42.141556
3.575000 30.364830 31.739886 35.074686 35.817864 40.177761 43.649572
3.700000 31.043783 32.689826 35.940881 36.860030 41.646917 45.063114
3.800000 31.494879 33.407038 36.894415 37.739872 42.735169 46.049475
3.900000 32.074723 34.158039 38.238452 38.657441 43.661350 46.842516
4.010000 32.662975 34.849714 39.430291 39.608469 44.660030 47.527814
4.105000 33.237971 35.524058 40.163995 40.404531 45.364193 48.533331
4.200000 33.768373 36.114066 40.986264 41.157414 46.036652 49.409952
4.300000 34.420183 37.213025 41.963429 41.969737 46.819320 49.881430
4.400000 35.027737 38.023099 42.802644 42.764724 47.548420 51.022861
4.500000 35.401052 38.775220 43.494405 43.554113 48.399454 51.855458
4.600000 35.854027 39.602561 44.172385 44.376244 49.194805 52.512546
4.700000 36.396947 40.616943 44.894812 45.183983 50.082183 53.439916
4.833333 37.014172 41.761253 45.881267 46.273796 50.999504 55.240596
4.966667 37.748052 42.795622 47.077240 47.418320 51.998346 56.386173
5.100000 38.484082 43.667856 48.179732 48.543551 53.082583 57.578462
5.200000 38.999730 44.507840 49.045867 49.406837 54.117362 58.595550
5.300000 39.795749 45.320572 50.152958 50.274166 54.889544 59.749882
5.400000 41.258814 46.252069 50.959105 51.175853 56.136326 60.869993
