depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.175000 0.611101 2.252980 4.448802 4.168936 5.823305 6.479231
0.225000 1.319230 3.085924 5.276209 4.895190 6.394171 6.974581
0.275000 2.349634 4.056377 6.064263 5.621937 6.934451 7.516504
0.375000 4.336501 6.029021 7.355802 7.060420 7.900520 8.273092
0.450000 6.286181 7.652421 8.257789 8.110747 8.619752 8.931948
0.525000 8.652239 8.863187 9.104257 9.103883 9.345734 9.556589
0.555000 8.952832 9.175766 9.444089 9.441068 9.704868 9.971306
0.605000 9.388679 9.656340 9.942547 9.960165 10.260286 10.592804
0.655000 9.822821 10.134337 10.463496 10.481321 10.830265 11.194050
0.705000 10.341916 10.665102 11.027005 11.038947 11.410759 11.794812
0.725000 10.584868 10.907148 11.286660 11.285478 11.664978 12.051986
0.755000 10.975181 11.297629 11.683837 11.685859 12.094627 12.434606
0.805000 11.600917 11.974167 12.393966 12.414644 12.872824 13.304117
0.855000 12.269539 12.670540 13.109315 13.140225 13.650570 14.071413
0.905000 12.837076 13.257536 13.742862 13.755655 14.271554 14.693264
0.955000 13.430017 13.853610 14.307660 14.314308 14.792501 15.177638
1.005000 14.075716 14.474864 14.901079 14.906113 15.324322 15.729208
1.055000 14.890383 15.253138 15.651624 15.651209 16.052373 16.431674
1.075000 15.380919 15.760424 16.131010 16.152346 16.540725 17.079585
1.105000 15.984036 16.342582 16.839757 16.918127 17.451068 18.400678
1.155000 16.500692 16.965630 17.685786 17.870619 18.762400 20.429061
1.205000 16.998691 17.505782 18.389398 18.656989 19.865349 21.720845
1.305000 17.878321 18.499984 19.674699 20.051600 22.033129 23.653598
1.405000 18.882484 19.620004 20.915290 21.326888 23.372272 25.224992
1.505000 19.995569 20.869310 22.384827 22.742166 24.923908 26.648198
1.605000 21.313482 22.305522 24.632669 24.542962 26.586923 28.305810
1.705000 22.763851 24.710922 27.054009 26.907654 28.805221 31.116038
1.755000 23.420896 26.305915 28.426996 28.215920 30.165966 32.735638
1.805000 24.299029 27.261412 29.735100 29.422675 31.528529 33.859120
1.905000 26.417372 29.885566 32.647530 32.351162 34.686678 36.276488
2.005000 30.976096 35.193264 36.882514 36.518730 37.992410 38.973000
2.105000 35.634576 37.811583 39.253573 39.148589 40.550740 41.725771
2.205000 38.867691 40.173766 41.436820 41.486352 42.809228 44.119960
