depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.060053 0.165341 0.295656 0.297432 0.423251 0.559122
0.132500 0.741975 1.063944 1.499751 1.685490 2.338077 3.911474
0.255000 1.660210 2.115645 2.857684 3.085052 4.219381 5.364529
0.377500 2.555126 3.225406 4.341972 4.434824 5.732646 6.734082
0.500000 3.648133 4.463187 5.788380 5.791355 7.049821 7.892691
0.550000 4.119303 4.979663 6.422005 6.351153 7.594521 8.429002
0.600000 4.664160 5.641732 7.012087 6.930765 8.107252 8.902925
0.650000 5.273659 6.328783 7.520629 7.488600 8.627509 9.423052
0.700000 5.897097 6.964149 8.110046 8.066981 9.133437 9.855898
0.750000 6.482926 7.601146 8.717059 8.629380 9.677714 10.326478
0.800000 7.086199 8.142722 9.313453 9.188799 10.194947 10.781862
0.840000 7.572059 8.642552 9.776559 9.646893 10.585267 11.134692
0.900000 8.567303 9.534478 10.510888 10.423160 11.267154 11.764412
0.950000 9.242878 10.262725 11.166279 11.070013 11.866181 12.321200
1.010000 10.801883 11.512157 12.129349 12.055103 12.585811 12.947398
1.060000 11.713299 12.257366 12.753001 12.702162 13.128594 13.466218
1.100000 12.307678 12.790547 13.229490 13.191823 13.577620 13.892906
1.160000 12.984793 13.444470 13.842421 13.792995 14.133370 14.423520
1.190000 13.279135 13.737269 14.121338 14.077633 14.402359 14.689771
1.260000 13.915957 14.352878 14.662624 14.637739 14.935461 15.166078
1.320000 14.542117 14.869462 15.139085 15.129249 15.397291 15.640134
1.350000 14.846313 15.109533 15.375205 15.370577 15.636047 15.913456
1.400000 15.172031 15.468784 15.727163 15.742708 16.017098 16.327615
1.470000 15.747913 16.019457 16.309381 16.339549 16.641546 17.159481
1.510000 16.203735 16.448060 16.769321 16.845323 17.212426 18.055057
1.550000 16.669032 16.998161 17.487013 17.626040 18.254456 19.244586
1.660000 17.770405 18.548060 19.662181 19.630644 20.632777 21.415616
1.700000 18.360897 19.379338 20.501701 20.379618 21.310913 21.959738
1.750000 19.426121 20.912372 21.693087 21.521953 22.160929 22.452248
1.800000 22.148809 22.356920 22.596502 22.588062 22.814612 22.998234
1.810000 22.366094 22.544636 22.751729 22.746281 22.945909 23.125600
