depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 0.101375 0.258994 0.451764 0.455670 0.652275 0.826429
0.055000 0.216518 0.388705 0.605371 0.614075 0.827589 1.123904
0.105000 0.415691 0.632298 0.919603 0.998457 1.356946 2.099504
0.130000 0.546791 0.753181 1.070978 1.178897 1.611120 2.372017
0.205000 0.827830 1.106694 1.682636 1.832903 2.584081 3.867697
0.230000 0.925315 1.241710 1.834372 1.998948 2.763214 4.123552
0.255000 1.050048 1.383745 1.991264 2.165844 2.960944 4.228590
0.280000 1.161918 1.518127 2.186632 2.333572 3.141043 4.376120
0.305000 1.293505 1.638500 2.349189 2.493698 3.333815 4.494882
0.330000 1.400402 1.775712 2.554630 2.667015 3.541426 4.615426
0.355000 1.501511 1.951533 2.757197 2.853372 3.741089 4.862699
0.380000 1.656184 2.144245 2.950504 3.045721 3.917211 5.099895
0.455000 2.030521 2.801729 3.803456 3.915269 5.044835 6.429742
0.480000 2.125593 2.983337 4.011627 4.113214 5.248453 6.641937
0.505000 2.257292 3.210490 4.185943 4.309327 5.470773 6.804027
0.530000 2.462688 3.402528 4.403802 4.512969 5.665813 6.961599
0.555000 2.664966 3.610154 4.620393 4.722075 5.922625 7.190868
0.580000 2.853232 3.839844 4.868565 4.937039 6.148339 7.406150
0.605000 3.012879 4.000824 5.078296 5.162206 6.395841 7.615201
0.630000 3.242540 4.242398 5.312200 5.382813 6.661904 7.798398
0.655000 3.452102 4.475868 5.540188 5.609304 6.888776 7.989373
0.680000 3.717668 4.700073 5.780367 5.846282 7.114473 8.241253
0.705000 3.895262 4.909757 6.040541 6.076182 7.336520 8.444127
0.730000 4.109750 5.095438 6.256899 6.309560 7.594246 8.558960
0.755000 4.365238 5.359380 6.495799 6.542370 7.812364 8.726642
0.780000 4.594021 5.580465 6.727253 6.769219 8.016398 8.938028
0.805000 4.807294 5.849943 6.974418 7.007999 8.247697 9.157164
0.830000 5.030746 6.093955 7.195062 7.245051 8.448503 9.441556
0.855000 5.277791 6.366676 7.476808 7.498354 8.697032 9.654957
0.880000 5.639758 6.653717 7.722868 7.752448 8.955537 9.853775
0.905000 5.928465 6.895373 8.012160 8.007169 9.156899 10.069366
0.930000 6.213621 7.111243 8.207736 8.242654 9.364153 10.247441
0.955000 6.480916 7.352099 8.473401 8.481642 9.611196 10.446337
0.980000 6.674739 7.630840 8.724982 8.721007 9.818696 10.599411
1.005000 6.964198 7.957429 8.965069 8.961595 10.008475 10.772297
1.055000 7.955977 8.761395 9.769402 9.690314 10.572994 11.114347
1.080000 8.184548 8.992400 10.022225 9.917009 10.800017 11.274825
1.105000 8.399269 9.243273 10.226366 10.132846 10.992353 11.504817
1.130000 8.638769 9.474240 10.455903 10.339724 11.167699 11.705985
1.155000 8.821063 9.715039 10.633139 10.530871 11.334756 11.832570
1.180000 9.016592 9.932175 10.815259 10.720918 11.487062 11.942525
1.205000 9.258916 10.148867 10.993221 10.898843 11.632583 12.051974
1.230000 9.557258 10.370958 11.139098 11.068943 11.772166 12.159363
1.255000 9.766703 10.597711 11.296009 11.233716 11.882500 12.284904
1.280000 10.044988 10.756993 11.414189 11.380067 12.013079 12.394621
1.305000 10.230325 10.976341 11.546350 11.522800 12.147225 12.469851
1.330000 10.447470 11.137571 11.700924 11.663852 12.273242 12.571282
1.355000 10.585437 11.299701 11.824645 11.799780 12.380210 12.671866
1.380000 10.883227 11.475408 11.953007 11.936033 12.480975 12.763977
1.405000 11.033958 11.629820 12.082419 12.067347 12.582490 12.850727
1.430000 11.287666 11.772852 12.214849 12.206592 12.696699 12.951208
1.455000 11.450329 11.927247 12.341930 12.339207 12.791408 13.052636
1.480000 11.642215 12.099244 12.479548 12.481922 12.909249 13.150369
1.505000 11.839931 12.243768 12.619364 12.613152 13.015783 13.258698
1.530000 11.952938 12.365872 12.750635 12.732027 13.121145 13.351613
1.555000 12.132782 12.489913 12.876823 12.848757 13.212424 13.435631
1.580000 12.261343 12.610422 12.997653 12.966353 13.311642 13.526158
1.605000 12.374822 12.703804 13.111386 13.074060 13.413805 13.609019
1.630000 12.493403 12.799330 13.231507 13.176945 13.501001 13.692820
1.655000 12.615603 12.904211 13.338749 13.281221 13.591024 13.780026
1.680000 12.712082 13.002849 13.455849 13.384140 13.680662 13.902049
1.705000 12.782141 13.126768 13.550044 13.484136 13.769691 14.000556
1.730000 12.931607 13.238665 13.653338 13.582495 13.859923 14.096276
1.755000 13.004735 13.343114 13.743089 13.679365 13.946769 14.198598
1.780000 13.122314 13.458025 13.837341 13.774831 14.035123 14.267100
1.805000 13.204250 13.555897 13.919329 13.865377 14.124046 14.376423
1.830000 13.298418 13.661000 14.003737 13.956019 14.211947 14.457008
1.855000 13.385272 13.763878 14.087311 14.045461 14.304551 14.568036
1.880000 13.495021 13.853792 14.182226 14.136418 14.401348 14.661415
1.905000 13.583641 13.958945 14.266404 14.228981 14.488107 14.752328
1.930000 13.678423 14.037246 14.355070 14.320810 14.571142 14.832388
1.955000 13.774365 14.150881 14.446328 14.413454 14.657413 14.916568
1.980000 13.880890 14.248673 14.537368 14.510810 14.758756 15.025459
2.005000 14.001405 14.347063 14.627114 14.606094 14.843861 15.123275
2.055000 14.246704 14.531832 14.801668 14.786686 15.020945 15.320875
2.080000 14.361149 14.634351 14.890277 14.882553 15.112716 15.387057
2.105000 14.475463 14.738823 14.989681 14.979353 15.204924 15.483006
2.155000 14.648214 14.928473 15.166386 15.159327 15.376262 15.662365
