depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.005000 0.726314 1.939266 2.833044 2.693913 3.411262 3.789714
0.012500 0.965769 2.144648 2.997975 2.860001 3.559702 3.925691
0.017500 1.064809 2.279892 3.095913 2.967764 3.656009 4.037565
0.022500 1.221048 2.411508 3.194465 3.074199 3.739906 4.129462
0.027500 1.347127 2.547733 3.297298 3.176118 3.817375 4.198455
0.032500 1.550324 2.700218 3.396088 3.283200 3.903393 4.279395
0.037500 1.720583 2.813706 3.489016 3.384655 3.981125 4.362772
0.042500 1.861822 2.933631 3.582636 3.487785 4.057889 4.426642
0.047500 2.033363 3.065938 3.673184 3.594923 4.140006 4.518585
0.052500 2.185507 3.197211 3.764875 3.696350 4.217771 4.596680
0.057500 2.355577 3.323940 3.863406 3.796765 4.282154 4.677130
0.062500 2.490956 3.480410 3.960534 3.898197 4.354716 4.754582
0.067500 2.707107 3.588856 4.051223 3.999245 4.440254 4.799964
0.072500 2.889610 3.707539 4.158321 4.105764 4.512093 4.874976
0.077500 3.074857 3.846996 4.262554 4.214847 4.602024 4.955824
0.085000 3.518842 4.043542 4.419652 4.388567 4.736601 5.052926
0.092500 3.860966 4.251809 4.582056 4.563852 4.866093 5.172451
0.097500 4.048657 4.364100 4.689955 4.676542 4.963401 5.282643
0.102500 4.228771 4.503261 4.799475 4.793640 5.071331 5.368899
0.105000 4.318568 4.573763 4.854730 4.853697 5.128520 5.420849
0.107500 4.371048 4.629586 4.918902 4.920214 5.210913 5.481587
0.112500 4.483310 4.746321 5.070498 5.090542 5.434074 5.825470
0.117500 4.563678 4.872301 5.233691 5.270223 5.669103 6.151123
0.122500 4.659380 5.005297 5.428110 5.455004 5.907979 6.416193
0.127500 4.770062 5.127893 5.600803 5.638061 6.137617 6.752028
0.132500 4.891648 5.239761 5.788901 5.830547 6.378195 7.106686
0.137500 4.985285 5.352145 6.000929 6.018422 6.604820 7.383595
0.142500 5.055538 5.487708 6.194833 6.213079 6.863824 7.671151
0.147500 5.157202 5.636404 6.390926 6.414304 7.111590 7.937532
0.152500 5.252699 5.834584 6.589497 6.618284 7.388729 8.182663
0.157500 5.359749 5.973667 6.807023 6.820164 7.646678 8.400890
0.165000 5.552165 6.243587 7.217822 7.228699 8.174593 8.935562
0.172500 5.731160 6.562574 7.662082 7.636288 8.700978 9.391197
0.177500 5.837354 6.708077 7.838375 7.815310 8.916535 9.645365
0.182500 5.949138 6.923163 8.002274 7.994932 9.093027 9.823924
0.187500 6.129121 7.088756 8.189380 8.166835 9.281725 9.953464
0.192500 6.390344 7.276568 8.348679 8.340473 9.452173 10.142760
0.202500 7.035884 7.794541 8.836436 8.830563 9.894955 10.589372
0.207500 7.249689 7.998194 9.018957 9.031209 10.092478 10.727162
0.222500 8.775359 9.514096 10.291919 10.237562 10.936977 11.514904
0.232500 9.315369 10.194531 10.890392 10.839923 11.511352 11.987009
0.237500 9.513665 10.434090 11.103949 11.047033 11.696900 12.129335
0.245000 9.933226 10.860770 11.462563 11.386429 11.955206 12.360892
0.252500 10.277178 11.212107 11.803811 11.721085 12.281481 12.616304
0.257500 10.475270 11.387447 11.958141 11.883875 12.434093 12.723731
0.262500 10.717706 11.524406 12.101794 12.031824 12.558943 12.860466
0.267500 10.967593 11.723857 12.259365 12.189000 12.676547 13.001485
0.272500 11.183596 11.917386 12.376389 12.330962 12.802711 13.114132
0.277500 11.429180 12.048893 12.509940 12.460301 12.895809 13.223859
0.282500 11.629488 12.194068 12.622174 12.584244 13.001085 13.334938
0.287500 11.807834 12.308337 12.747063 12.697082 13.094831 13.420243
0.292500 11.929282 12.422606 12.852792 12.805035 13.188552 13.499453
0.297500 12.050583 12.542535 12.959945 12.913240 13.275544 13.584747
0.302500 12.167216 12.668054 13.074832 13.019929 13.371573 13.661619
0.307500 12.321957 12.755524 13.170027 13.113653 13.451453 13.745694
0.312500 12.424155 12.853026 13.258124 13.205310 13.526433 13.821123
0.317500 12.538368 12.946207 13.338413 13.289510 13.605598 13.893466
0.325000 12.666143 13.084902 13.439040 13.406654 13.719230 13.990933
0.332500 12.781310 13.212330 13.554848 13.520457 13.820760 14.096470
0.337500 12.856164 13.295480 13.629793 13.597439 13.892639 14.169310
0.342500 12.925619 13.382834 13.700641 13.673349 13.970744 14.232422
0.347500 13.014545 13.473186 13.776317 13.748400 14.048230 14.304203
0.352500 13.083616 13.545363 13.846167 13.823478 14.130326 14.387419
0.357500 13.142634 13.641323 13.921259 13.900629 14.203979 14.483249
0.362500 13.217206 13.715779 13.990542 13.975290 14.277260 14.565981
0.367500 13.316229 13.808986 14.067946 14.056109 14.348814 14.650843
0.372500 13.403717 13.883087 14.147815 14.136422 14.427234 14.750123
0.377500 13.467208 13.959345 14.228318 14.217440 14.501391 14.854371
0.382500 13.567811 14.044232 14.302050 14.298256 14.581443 14.952554
0.387500 13.623564 14.132672 14.370519 14.373147 14.648823 15.023530
0.392500 13.756901 14.216058 14.444464 14.448901 14.722845 15.096583
