depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.020000 1.031084 2.068673 2.875945 2.767187 3.454107 3.819255
0.040000 1.245829 2.238131 3.036248 2.925784 3.584695 3.960413
0.080000 1.638008 2.697969 3.365868 3.256525 3.831065 4.180844
0.100000 1.808495 2.887394 3.523028 3.418580 3.967320 4.311626
0.140000 2.514158 3.301529 3.825717 3.748459 4.194335 4.505460
0.180000 3.059051 3.765888 4.145146 4.092748 4.443475 4.719278
0.220000 3.935513 4.191070 4.455913 4.450563 4.715066 4.975041
0.260000 4.192276 4.482523 4.787629 4.820057 5.125294 5.760570
0.300000 4.434793 4.737145 5.126423 5.185716 5.612034 6.345510
0.340000 4.676614 5.036087 5.469017 5.565102 6.130310 6.991289
0.380000 4.943224 5.330057 5.837556 5.936954 6.542712 7.451264
0.420000 5.205097 5.687036 6.267564 6.343901 6.983622 7.900042
0.500000 5.814180 6.408743 7.115627 7.197805 7.988321 9.039828
0.540000 6.165789 6.796106 7.571502 7.642177 8.476763 9.498849
0.580000 6.527714 7.274701 8.077855 8.125349 9.035145 9.909595
0.660000 7.918811 8.709049 9.561273 9.509703 10.292244 10.915991
0.700000 8.602150 9.414068 10.108928 10.072093 10.754773 11.326077
0.740000 9.066805 9.896601 10.600973 10.537891 11.173587 11.697038
0.780000 9.770799 10.482993 11.132641 11.072981 11.662183 12.057310
0.820000 10.407174 11.052759 11.667001 11.596809 12.140646 12.498185
0.860000 11.224390 11.833311 12.268409 12.237602 12.632517 12.971959
0.900000 11.885195 12.286877 12.653696 12.635410 13.004038 13.311493
0.940000 12.262591 12.619849 12.952152 12.943061 13.276919 13.590555
0.960000 12.404764 12.760162 13.089030 13.089023 13.419089 13.734751
0.980000 12.528846 12.882320 13.211719 13.220324 13.566161 13.864916
1.020000 12.734847 13.115770 13.438630 13.443716 13.793320 14.092308
1.040000 12.855793 13.238942 13.558411 13.560174 13.913700 14.228864
