depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.005000 2.672743 2.919587 3.192371 3.178134 3.424040 3.644589
0.045000 2.783799 3.072810 3.455208 3.545505 4.083246 4.587273
0.085000 2.903441 3.223526 3.690341 3.764676 4.365137 4.840107
0.125000 2.985228 3.353807 3.859354 3.920860 4.515444 5.019080
0.165000 3.089564 3.471426 4.016280 4.057621 4.650376 5.178487
0.205000 3.203314 3.607158 4.166805 4.191050 4.780485 5.330975
0.245000 3.305683 3.730479 4.309139 4.316251 4.896100 5.465619
0.285000 3.426920 3.856784 4.427384 4.436756 5.024302 5.599075
0.325000 3.517381 3.971246 4.555985 4.553481 5.120610 5.740567
0.365000 3.616350 4.100205 4.666994 4.675729 5.236134 5.871816
0.405000 3.713076 4.219696 4.781949 4.794995 5.351316 5.991640
0.445000 3.840635 4.339191 4.899853 4.914386 5.464023 6.129873
0.485000 3.936079 4.448385 5.024370 5.033084 5.581612 6.271915
0.525000 4.051154 4.574935 5.147016 5.152294 5.704280 6.384879
0.565000 4.159751 4.703251 5.271212 5.274580 5.817918 6.549962
0.605000 4.270855 4.812787 5.403608 5.396502 5.944780 6.662158
0.645000 4.396157 4.942526 5.530213 5.523964 6.068763 6.788971
0.685000 4.559317 5.067170 5.660687 5.650487 6.187250 6.892460
0.725000 4.681269 5.191178 5.782345 5.776077 6.294715 7.015413
0.765000 4.801420 5.308786 5.941106 5.906524 6.407638 7.161659
0.805000 4.923787 5.428434 6.090115 6.037824 6.518685 7.277490
0.845000 5.108806 5.568749 6.226706 6.165587 6.652834 7.360958
0.885000 5.218736 5.698437 6.367858 6.298573 6.784397 7.534848
0.925000 5.363374 5.828770 6.493435 6.428850 6.916333 7.653677
0.965000 5.484640 5.964514 6.608760 6.559018 7.045851 7.775281
1.005000 5.634857 6.091098 6.744024 6.692258 7.188289 7.868705
1.045000 5.780918 6.222106 6.879531 6.825991 7.316784 8.018169
1.085000 5.900471 6.367601 7.012459 6.961204 7.473422 8.078829
1.125000 6.014801 6.499135 7.152582 7.093192 7.598443 8.193153
1.165000 6.149103 6.632452 7.305280 7.233882 7.738143 8.325600
1.205000 6.304814 6.755074 7.446141 7.376599 7.877085 8.485913
1.245000 6.479676 6.893290 7.580509 7.517425 8.050607 8.601351
1.285000 6.644957 7.041367 7.734116 7.671317 8.227698 8.718302
1.325000 6.757941 7.165605 7.872688 7.817561 8.389369 8.855344
1.360000 6.887565 7.298314 7.997266 7.939528 8.518631 8.940834
1.405000 7.029144 7.468391 8.145889 8.096877 8.673013 9.100280
1.445000 7.145837 7.618802 8.277302 8.234136 8.805558 9.240518
1.485000 7.286799 7.766399 8.416526 8.374660 8.938541 9.329815
1.525000 7.418308 7.909278 8.557502 8.513782 9.092576 9.453236
1.565000 7.570657 8.074826 8.694949 8.653341 9.211488 9.582786
1.605000 7.685828 8.234465 8.838550 8.791769 9.333892 9.697663
1.645000 7.804436 8.401398 8.985251 8.930224 9.459277 9.802578
1.685000 7.939490 8.543964 9.116684 9.063248 9.580712 9.904734
1.725000 8.063966 8.666678 9.247784 9.195910 9.706880 10.020744
1.765000 8.203319 8.825755 9.392161 9.330865 9.835329 10.147926
1.805000 8.337754 8.969882 9.520795 9.466929 9.961103 10.277112
1.845000 8.458204 9.138675 9.662338 9.609948 10.074374 10.412942
1.885000 8.589247 9.298025 9.819234 9.754575 10.214557 10.539034
1.925000 8.806553 9.444850 9.973824 9.902675 10.334234 10.645079
1.965000 8.989580 9.634489 10.134626 10.066100 10.487070 10.777683
2.005000 9.240336 9.843998 10.294846 10.238960 10.636482 10.901328
2.045000 9.531225 10.065573 10.485861 10.435456 10.809785 11.051267
2.085000 9.821610 10.308484 10.697744 10.652538 11.004829 11.261874
2.125000 10.086174 10.540570 10.913419 10.868232 11.197997 11.478914
2.165000 10.365370 10.800362 11.157075 11.123303 11.453246 11.755810
2.205000 10.576364 11.072547 11.436713 11.407550 11.750303 12.006481
2.245000 10.894804 11.367887 11.752560 11.701591 12.035767 12.262483
2.285000 11.482211 11.820012 12.098448 12.082442 12.347870 12.605823
2.325000 11.704215 11.988737 12.259022 12.254161 12.508827 12.792555
2.365000 11.852907 12.108149 12.383407 12.375638 12.631760 12.900785
2.405000 11.969670 12.225243 12.497625 12.491141 12.746408 13.021675
2.445000 12.088830 12.337849 12.610555 12.607302 12.858209 13.131753
2.485000 12.209497 12.459590 12.734172 12.728484 12.973556 13.244473
2.525000 12.369476 12.602220 12.863459 12.864810 13.103242 13.369665
2.565000 12.556514 12.768824 13.026299 13.037744 13.280370 13.545326
2.605000 12.761319 12.974911 13.241264 13.260087 13.511847 13.974241
2.645000 13.005716 13.282428 13.613334 13.676263 14.138726 14.498781
2.685000 13.417648 13.847293 14.390161 14.317576 14.719627 14.959756
2.725000 14.200053 14.557124 14.855264 14.826577 15.088920 15.279053
2.765000 14.703664 14.966387 15.186540 15.171568 15.375510 15.522638
2.805000 15.045425 15.223229 15.413845 15.405892 15.579268 15.734268
2.845000 15.263573 15.428463 15.617745 15.609846 15.779119 15.945947
2.885000 15.429370 15.597823 15.788662 15.794036 15.982738 16.201393
2.925000 15.590946 15.789931 15.997620 16.014801 16.236958 16.551663
2.965000 15.779459 15.999340 16.236233 16.263948 16.521876 16.923224
3.005000 16.628005 16.936481 17.234330 17.245014 17.543009 17.882915
3.045000 17.142624 17.542718 17.985874 17.984810 18.419345 18.875601
3.085000 17.518614 18.043009 18.588868 18.582879 19.094234 19.641377
3.125000 17.910578 18.489603 19.095495 19.084038 19.692514 20.293661
3.165000 18.313027 18.898872 19.564152 19.555382 20.210688 20.858839
3.205000 18.584386 19.321148 20.027617 20.015636 20.686693 21.336444
3.245000 18.947306 19.770896 20.487449 20.443213 21.121117 21.770560
3.285000 19.264323 20.225172 20.935300 20.895614 21.628344 22.127041
3.325000 19.542211 20.637731 21.409522 21.310083 22.008017 22.456659
3.365000 19.809240 21.031474 21.903320 21.744533 22.401210 22.772194
3.405000 20.352520 21.477326 22.239018 22.073178 22.668920 23.000103
3.445000 20.808035 21.845507 22.436587 22.325237 22.860077 23.185140
3.485000 21.066290 22.159497 22.663339 22.568765 23.033515 23.343311
3.525000 21.501914 22.405662 22.848663 22.776378 23.199609 23.515515
3.565000 21.759691 22.592249 23.014062 22.944148 23.340923 23.655565
3.605000 22.224238 22.773654 23.173440 23.124196 23.500460 23.790592
3.645000 22.464787 22.935004 23.322816 23.289774 23.642849 23.950164
3.685000 22.679799 23.101959 23.473997 23.446923 23.793237 24.120441
3.725000 22.871341 23.273794 23.622001 23.598980 23.933315 24.233154
3.765000 23.033539 23.411694 23.773156 23.747176 24.085623 24.368978
3.805000 23.197617 23.552789 23.915709 23.893832 24.248724 24.495789
3.845000 23.342572 23.685063 24.045440 24.034660 24.380831 24.649066
3.885000 23.498526 23.830352 24.189723 24.173424 24.509683 24.780347
3.925000 23.705977 24.003641 24.330668 24.322849 24.638149 24.935323
3.965000 23.878468 24.177285 24.491302 24.489464 24.799034 25.063034
4.045000 24.230567 24.519389 24.812095 24.806050 25.095457 25.356575
