depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 0.005135 0.043627 0.131048 0.135516 0.224744 0.315784
0.100000 0.176233 0.299711 0.427922 0.478337 0.630339 1.024135
0.150000 0.339705 0.474355 0.639792 0.722604 0.973032 1.511788
0.200000 0.503470 0.656152 0.865915 0.954665 1.249259 1.956394
0.300000 0.781992 0.991701 1.279260 1.421964 1.873736 2.809826
0.350000 0.954105 1.180918 1.511738 1.670409 2.207098 3.191504
0.400000 1.149005 1.376362 1.744801 1.909596 2.443157 3.536473
0.500000 1.458615 1.741596 2.207650 2.383550 3.048439 4.214589
0.550000 1.610688 1.957690 2.442868 2.631900 3.310309 4.592596
0.600000 1.802145 2.175296 2.713210 2.878251 3.582195 4.935882
0.650000 1.985165 2.389582 2.976051 3.123484 3.857714 5.184531
0.700000 2.177800 2.620023 3.239825 3.380423 4.143633 5.528538
0.800000 2.495812 2.990911 3.733187 3.854094 4.739921 6.047777
0.850000 2.710128 3.188808 3.977398 4.103536 5.005000 6.292662
0.900000 2.913509 3.445650 4.246888 4.369989 5.342458 6.460483
0.950000 3.113468 3.682040 4.538128 4.654292 5.662227 6.742697
1.000000 3.289800 3.927674 4.830322 4.932786 5.994650 6.997367
1.050000 3.503542 4.195474 5.098522 5.207511 6.309469 7.238571
1.100000 3.712778 4.452853 5.389945 5.483258 6.611871 7.515690
1.150000 3.908072 4.693710 5.690004 5.763327 6.897321 7.738249
1.200000 4.153262 5.013863 6.007005 6.061405 7.203914 8.007394
1.250000 4.514332 5.307435 6.283468 6.346502 7.470332 8.310376
1.300000 4.773277 5.630532 6.552966 6.630855 7.774167 8.555034
1.350000 4.983764 5.913300 6.824717 6.904454 8.019474 8.832999
1.400000 5.181645 6.198885 7.119609 7.178096 8.232998 9.094034
1.450000 5.516083 6.552670 7.417910 7.466543 8.452140 9.294560
1.500000 5.792614 6.878285 7.740546 7.756165 8.686837 9.610397
1.550000 6.057305 7.238255 8.031991 8.046162 8.932475 9.799100
1.600000 6.476757 7.576519 8.393129 8.350487 9.190703 9.988524
1.650000 6.719741 7.870617 8.686072 8.641897 9.440534 10.207883
1.700000 7.077684 8.185138 8.999502 8.949110 9.705716 10.428335
1.750000 7.512085 8.520887 9.299839 9.248050 9.981043 10.664689
1.800000 7.927719 8.833145 9.573701 9.533014 10.232166 10.884097
1.850000 8.265339 9.139405 9.814110 9.790539 10.475169 11.147902
1.950000 8.906080 9.637926 10.268865 10.254103 10.933076 11.497446
2.000000 9.118356 9.864432 10.500724 10.485307 11.134947 11.692369
2.050000 9.510459 10.117706 10.723249 10.713166 11.362349 11.878865
2.100000 9.773251 10.415189 10.937923 10.954820 11.555200 12.072372
2.150000 10.116894 10.709290 11.227996 11.231922 11.781003 12.239708
2.200000 10.462989 11.052104 11.515282 11.517713 12.017054 12.470871
2.250000 10.909149 11.401100 11.819047 11.827290 12.307442 12.666090
2.350000 11.528628 12.000973 12.410429 12.405479 12.835633 13.208721
2.400000 11.859549 12.293996 12.685735 12.681251 13.090352 13.412552
2.450000 12.166778 12.606931 13.046805 13.008860 13.398617 13.676357
2.500000 12.427581 12.931483 13.335761 13.298372 13.661899 13.917802
2.550000 12.672734 13.234427 13.614295 13.560474 13.911425 14.158479
2.600000 12.882853 13.537886 13.854862 13.807425 14.131025 14.414980
2.650000 13.104948 13.757897 14.074776 14.030768 14.327962 14.602896
2.700000 13.298508 13.991419 14.300243 14.251560 14.540953 14.812961
2.750000 13.501336 14.214189 14.502889 14.457072 14.738066 15.007325
2.800000 13.775862 14.446396 14.709556 14.676154 14.951176 15.221767
2.850000 14.127611 14.664483 14.904796 14.883135 15.145626 15.441192
2.900000 14.430345 14.854196 15.103444 15.099614 15.374221 15.712055
2.950000 14.756500 15.100255 15.356296 15.381309 15.690482 16.097953
3.000000 15.360158 15.826978 16.300789 16.330795 16.860577 17.362848
3.050000 15.870913 16.285166 16.816988 16.892925 17.499259 18.424499
3.100000 16.381881 16.824844 17.430349 17.548159 18.357665 19.287156
3.150000 16.721837 17.294104 18.065460 18.214318 19.253984 20.231342
3.200000 17.015889 17.794009 18.806197 18.856531 20.000518 20.973694
3.250000 17.283933 18.165659 19.479341 19.459688 20.708605 21.575195
3.300000 17.475154 18.628333 20.116705 20.013117 21.325990 22.037381
3.350000 17.704558 19.080605 20.714774 20.520308 21.839472 22.442412
3.400000 17.915950 19.501952 21.293788 20.981057 22.244445 22.823711
3.500000 18.235649 20.512258 22.347314 21.892880 22.915250 23.445399
3.550000 18.490207 21.057176 22.690709 22.237098 23.219975 23.690279
3.600000 18.815470 21.541741 22.987451 22.570681 23.500996 24.010147
3.650000 19.055855 21.975527 23.264591 22.858247 23.765793 24.298124
3.700000 19.326554 22.249826 23.501510 23.110201 23.994157 24.524785
3.750000 19.614469 22.517698 23.723179 23.369804 24.299691 24.836015
3.800000 19.983207 22.784640 23.970926 23.629700 24.578231 25.078774
3.850000 20.288410 22.998112 24.195882 23.881884 24.839703 25.289780
3.900000 20.657735 23.231793 24.407152 24.126524 25.102523 25.555061
3.950000 20.934638 23.471310 24.650063 24.379858 25.371573 25.809377
4.000000 21.194178 23.790807 24.898913 24.631888 25.605331 26.062469
4.050000 21.483433 24.078675 25.144198 24.881851 25.856792 26.329730
4.100000 21.762803 24.393442 25.383353 25.129212 26.094148 26.551024
4.150000 22.004798 24.716296 25.650355 25.386375 26.325747 26.765061
4.200000 22.312208 24.973571 25.882772 25.642509 26.544164 27.030528
4.250000 22.763464 25.255295 26.126603 25.926071 26.816469 27.331885
4.300000 23.330565 25.506855 26.372863 26.227768 27.062946 27.670617
4.400000 25.049127 26.306390 26.964255 26.964702 27.685063 28.653554
4.500000 26.383578 27.061622 27.761237 27.831244 28.635525 29.804837
4.600000 27.116897 27.888811 28.687499 28.741357 29.514255 30.919090
4.700000 27.637311 28.591865 29.500689 29.573630 30.591797 31.892695
4.800000 28.202873 29.273192 30.307947 30.367597 31.553751 32.791293
