depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 0.042265 0.244948 0.503183 0.508129 0.774820 1.003653
0.040000 0.161703 0.356941 0.594556 0.605697 0.854554 1.081658
0.120000 0.339793 0.551409 0.783012 0.785017 1.010570 1.226000
0.200000 0.576801 0.770404 0.967540 0.971474 1.167912 1.392237
0.245000 0.711829 0.892836 1.082594 1.085382 1.279629 1.480525
0.322500 0.889635 1.070205 1.307635 1.337106 1.592344 1.988161
0.400000 1.037402 1.251347 1.516079 1.583060 1.914901 2.441729
0.500000 1.227889 1.470883 1.819954 1.897067 2.368563 2.949133
0.600000 1.407317 1.684908 2.136013 2.223046 2.779842 3.484026
0.733333 1.672434 2.009757 2.598196 2.676359 3.299154 4.123553
0.866667 1.940786 2.323170 3.085246 3.149229 3.985604 4.751714
1.000000 2.170719 2.716846 3.579837 3.634042 4.516597 5.428281
1.100000 2.342141 3.067707 3.955594 3.992271 4.910213 5.887391
1.200000 2.516925 3.357930 4.331253 4.333472 5.266119 6.318987
1.300000 2.731835 3.706309 4.654708 4.683952 5.627834 6.780806
1.400000 2.987097 4.027618 4.997675 5.017806 5.966743 7.236213
1.500000 3.206543 4.296711 5.352878 5.343584 6.300685 7.527225
1.600000 3.438539 4.628348 5.684415 5.664418 6.705559 7.755209
1.700000 3.702207 5.006766 6.001343 5.983217 6.991960 7.980771
1.800000 4.128809 5.308044 6.319754 6.306060 7.307126 8.342808
1.900000 4.412712 5.649497 6.681203 6.629520 7.624225 8.709738
2.000000 4.693447 5.959772 6.978543 6.955870 7.972547 9.002864
2.100000 5.038243 6.308795 7.304354 7.271058 8.240193 9.310485
2.200000 5.363490 6.695716 7.624882 7.618857 8.574706 9.600888
2.300000 5.651090 7.071822 7.971393 7.970861 8.911259 9.912270
2.400000 6.098216 7.441219 8.322156 8.322392 9.265114 10.155744
2.500000 6.777404 7.880277 8.691653 8.707316 9.644315 10.366010
2.600000 7.390746 8.364026 9.074629 9.105906 9.963402 10.715551
2.700000 7.789745 8.717552 9.455700 9.453049 10.268717 10.994533
2.800000 8.174715 9.093454 9.819754 9.804552 10.578333 11.205338
2.900000 8.567054 9.424578 10.158330 10.128051 10.864913 11.452277
3.000000 9.040869 9.840587 10.490928 10.473930 11.125812 11.705000
3.100000 9.514302 10.306283 10.930055 10.876836 11.455773 11.938063
3.200000 9.938803 10.750119 11.322670 11.269967 11.790605 12.160528
3.300000 10.550853 11.188535 11.676395 11.631005 12.108183 12.436149
3.400000 10.992459 11.510308 11.949097 11.932743 12.376311 12.698446
3.500000 11.365503 11.828787 12.245619 12.232598 12.644618 12.913963
3.600000 11.800279 12.182041 12.586663 12.571685 12.956890 13.317195
3.700000 12.229498 12.587560 12.938495 12.938436 13.296735 13.660609
3.800000 12.611941 12.937168 13.274159 13.280953 13.634885 14.003599
3.900000 12.909618 13.222262 13.536272 13.562291 13.932689 14.272647
4.000000 13.138091 13.487168 13.773346 13.802428 14.141964 14.496366
4.040000 13.291821 13.620632 13.903664 13.920491 14.258155 14.584321
4.080000 13.392746 13.739580 14.005687 14.026333 14.349239 14.679576
4.100000 13.433244 13.794632 14.060171 14.079917 14.395716 14.731127
4.120000 13.506150 13.856436 14.111134 14.129800 14.445965 14.775014
4.160000 13.599238 13.956579 14.203361 14.224269 14.523397 14.871454
4.200000 13.719652 14.050984 14.303042 14.319913 14.598755 14.973168
4.240000 13.829893 14.146495 14.397186 14.412361 14.691963 15.055007
4.280000 13.939554 14.246442 14.500050 14.511031 14.794373 15.120223
4.300000 13.995728 14.295488 14.550240 14.564551 14.846816 15.167022
4.320000 14.053882 14.347149 14.620689 14.620995 14.894601 15.256697
4.360000 14.174575 14.455691 14.729144 14.729398 14.992881 15.343830
4.400000 14.295161 14.568826 14.835193 14.837281 15.089973 15.431883
4.440000 14.420057 14.689431 14.972966 14.962210 15.196557 15.549031
4.480000 14.530272 14.816687 15.096234 15.078170 15.309365 15.646282
4.500000 14.567824 14.876927 15.159379 15.138604 15.368402 15.698684
4.520000 14.643888 14.935129 15.212773 15.198475 15.437160 15.761448
4.560000 14.765043 15.069517 15.325982 15.318477 15.555090 15.881599
4.600000 14.888981 15.207207 15.434630 15.433316 15.669036 16.003595
4.640000 15.011781 15.331834 15.552368 15.554243 15.776612 16.122489
4.680000 15.151836 15.485085 15.690012 15.705958 15.944416 16.241709
4.700000 15.222371 15.549253 15.761297 15.776383 16.024783 16.305722
4.720000 15.288984 15.614909 15.827626 15.843469 16.089636 16.379243
4.760000 15.444328 15.754257 15.973071 15.988633 16.240762 16.531645
4.800000 15.622178 15.871628 16.097675 16.116656 16.365576 16.677580
4.840000 15.731504 15.964977 16.210620 16.225186 16.484279 16.806223
4.880000 15.799206 16.054760 16.304726 16.326982 16.595698 16.957151
4.900000 15.848011 16.109187 16.367739 16.387447 16.649200 17.045834
4.920000 15.898815 16.159858 16.432824 16.447961 16.715619 17.126467
4.960000 15.985938 16.251257 16.558398 16.567843 16.851501 17.289620
5.000000 16.072172 16.340790 16.670872 16.692367 17.010804 17.521866
5.040000 16.157629 16.441226 16.786966 16.819629 17.198205 17.810287
5.080000 16.209041 16.515698 16.896062 16.943517 17.359503 18.040276
5.100000 16.251252 16.557572 16.943837 16.998061 17.433048 18.114813
5.120000 16.293127 16.609354 16.995044 17.050582 17.505374 18.171516
5.160000 16.383816 16.690702 17.086882 17.151359 17.626131 18.346712
5.200000 16.455405 16.760317 17.179022 17.253928 17.770534 18.492419
5.240000 16.528464 16.833241 17.269419 17.357988 17.921339 18.602290
5.280000 16.583145 16.901112 17.372361 17.468900 18.078067 18.729122
5.300000 16.636832 16.950724 17.413754 17.524217 18.143017 18.813801
5.320000 16.689879 16.990379 17.458418 17.576809 18.209505 18.897918
5.360000 16.758384 17.077363 17.546205 17.682079 18.342298 18.993481
5.400000 16.826688 17.156563 17.635741 17.788386 18.504885 19.092504
5.440000 16.911462 17.248450 17.721294 17.894442 18.653945 19.187785
5.480000 16.960406 17.325432 17.803420 18.000209 18.796116 19.332170
5.500000 17.004438 17.364764 17.845762 18.051140 18.867235 19.383967
5.520000 17.035126 17.411769 17.891855 18.102360 18.930395 19.415700
5.560000 17.103113 17.488535 17.975113 18.201447 19.062755 19.521650
5.600000 17.163148 17.560639 18.062491 18.297168 19.165799 19.609777
5.640000 17.238586 17.637517 18.163119 18.391599 19.264768 19.707005
5.680000 17.307796 17.717613 18.239983 18.483444 19.350633 19.817139
5.700000 17.343133 17.766560 18.280726 18.529257 19.408621 19.860917
5.720000 17.384810 17.812013 18.322890 18.576175 19.448638 19.914518
5.760000 17.463106 17.889105 18.449809 18.668957 19.529120 19.983258
5.800000 17.524607 17.968952 18.561801 18.761492 19.633761 20.079477
5.840000 17.598652 18.047861 18.645482 18.850023 19.733559 20.198930
5.880000 17.669178 18.125237 18.749490 18.940431 19.817359 20.390567
5.900000 17.703726 18.167518 18.786940 18.985516 19.860853 20.439990
5.920000 17.740092 18.220138 18.859231 19.031462 19.912384 20.479047
5.960000 17.850124 18.315101 18.973092 19.122026 20.003607 20.557636
6.000000 17.976276 18.404745 19.054858 19.208256 20.082222 20.655098
6.040000 18.062789 18.486354 19.162594 19.294800 20.175867 20.730808
6.080000 18.139670 18.573000 19.271798 19.380380 20.246034 20.833656
6.120000 18.265760 18.647136 19.363473 19.464644 20.334208 20.946742
6.160000 18.374575 18.739950 19.433995 19.548032 20.415522 21.010493
6.200000 18.476934 18.810833 19.538547 19.635646 20.504632 21.108631
6.240000 18.549041 18.889679 19.655552 19.726599 20.579677 21.197145
6.280000 18.631812 18.977863 19.770189 19.816896 20.651899 21.288073
6.320000 18.707468 19.051511 19.920177 19.908957 20.731429 21.405836
6.360000 18.770463 19.139779 20.062172 20.005694 20.824204 21.620294
6.400000 18.840046 19.207977 20.154921 20.099299 20.920176 21.709582
6.440000 18.903990 19.305652 20.249038 20.193169 20.993468 21.804075
6.480000 18.984330 19.388332 20.355732 20.289536 21.065778 21.899424
6.520000 19.067016 19.475979 20.449669 20.386459 21.149964 22.068101
6.560000 19.189393 19.567062 20.536325 20.478721 21.234344 22.194846
6.600000 19.285223 19.654373 20.627754 20.574743 21.327303 22.324382
6.640000 19.355644 19.747668 20.709261 20.669040 21.416582 22.514740
6.680000 19.457774 19.861373 20.818362 20.766035 21.500477 22.629443
6.720000 19.540848 19.986786 20.920164 20.863773 21.574013 22.819074
6.760000 19.632108 20.109654 20.994257 20.959206 21.653655 22.921511
6.810000 19.716620 20.223043 21.087191 21.080433 21.761976 23.073932
6.840000 19.791047 20.305390 21.145992 21.151044 21.822888 23.152158
6.880000 19.867398 20.400350 21.222726 21.243026 21.887479 23.283614
6.920000 19.972379 20.500379 21.322503 21.335495 21.971574 23.378376
6.960000 20.054532 20.607606 21.409191 21.427989 22.058995 23.493890
7.000000 20.138605 20.713645 21.485572 21.518928 22.136705 23.590652
7.040000 20.213494 20.829948 21.554015 21.607988 22.213225 23.707077
7.080000 20.309231 20.951749 21.632003 21.700746 22.289122 23.869430
7.120000 20.385062 21.061941 21.707303 21.791649 22.365777 24.013469
7.160000 20.471445 21.154343 21.795748 21.886165 22.445063 24.278883
7.200000 20.574749 21.252848 21.873805 21.978900 22.528061 24.475238
7.240000 20.655737 21.360727 21.952629 22.071045 22.611480 24.703354
7.280000 20.764829 21.494313 22.035838 22.164534 22.683072 24.794005
7.320000 20.871359 21.567329 22.119329 22.254607 22.768325 24.935517
7.360000 20.957001 21.704330 22.215661 22.348109 22.878229 25.007061
7.400000 21.049708 21.804307 22.315674 22.445846 22.965806 25.288460
7.440000 21.176572 21.912906 22.396359 22.538469 23.060346 25.414053
7.480000 21.282947 22.000523 22.474474 22.630677 23.142042 25.499450
7.520000 21.385817 22.092941 22.555345 22.725565 23.235883 25.622831
7.560000 21.518527 22.203691 22.643065 22.819878 23.324990 25.722432
7.600000 21.615133 22.299648 22.737925 22.922718 23.419235 25.838231
7.640000 21.707544 22.396853 22.817643 23.013021 23.523299 25.985727
7.680000 21.794898 22.493724 22.893894 23.109311 23.624706 26.102438
7.720000 21.880827 22.566832 22.983151 23.200169 23.743194 26.255340
7.760000 21.954132 22.657367 23.055850 23.288983 23.833487 26.329165
7.840000 22.103411 22.797549 23.198641 23.456110 24.026652 26.535700
7.880000 22.184157 22.868368 23.288156 23.542307 24.106648 26.593973
7.900000 22.237574 22.905614 23.322854 23.587487 24.150256 26.641836
7.920000 22.275575 22.938835 23.364824 23.632019 24.202081 26.678787
7.960000 22.341215 23.023340 23.448309 23.716027 24.301058 26.764298
8.040000 22.480977 23.172028 23.604226 23.871849 24.476762 26.908961
8.080000 22.575614 23.242177 23.675294 23.957026 24.602252 26.978594
8.100000 22.601016 23.282014 23.719345 24.000568 24.649741 27.003162
8.120000 22.651223 23.319695 23.764584 24.045128 24.713309 27.057688
