depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.050000 0.002839 0.022378 0.079010 0.099910 0.176617 0.309284
0.100000 0.112166 0.170456 0.250126 0.259450 0.345181 0.488383
0.150000 0.243644 0.316913 0.411902 0.419685 0.517989 0.641503
0.170000 0.312627 0.389274 0.485683 0.493594 0.596704 0.738671
0.200000 0.395046 0.494956 0.609459 0.624900 0.744456 0.940723
0.250000 0.551887 0.663623 0.796207 0.840786 1.001479 1.367411
0.300000 0.690675 0.820395 0.985369 1.052669 1.272002 1.823703
0.350000 0.835152 0.998928 1.169625 1.270276 1.557336 2.251203
0.400000 0.998015 1.171951 1.380835 1.484326 1.789676 2.673893
0.450000 1.174033 1.348283 1.588047 1.710757 2.081056 3.058375
0.490000 1.294857 1.504555 1.804189 1.909045 2.287262 3.277338
0.540000 1.462178 1.698974 2.031516 2.153039 2.634922 3.553435
0.590000 1.615900 1.882785 2.287836 2.402774 2.937253 3.932111
0.640000 1.770746 2.067780 2.524926 2.637686 3.171287 4.207367
0.690000 1.932886 2.278340 2.760770 2.871650 3.453266 4.476684
0.740000 2.113170 2.485804 2.998974 3.109714 3.742985 4.706111
0.790000 2.317025 2.707084 3.256986 3.360541 3.998470 4.923301
0.840000 2.454512 2.964268 3.515763 3.610550 4.299881 5.179963
0.890000 2.649380 3.221686 3.812662 3.870764 4.549475 5.456112
0.940000 2.845653 3.485427 4.097954 4.141365 4.849911 5.696972
0.990000 3.020641 3.752539 4.370018 4.412683 5.108389 5.917905
1.030000 3.167166 3.966957 4.611816 4.632345 5.317280 6.113042
1.080000 3.315293 4.171600 4.876500 4.874926 5.553944 6.310274
1.130000 3.477474 4.370756 5.113798 5.102092 5.796161 6.598795
1.180000 3.685102 4.561987 5.317746 5.310116 6.016682 6.820642
1.230000 3.905280 4.764395 5.528864 5.522737 6.220512 7.034863
1.280000 4.151762 4.961765 5.768564 5.730711 6.445418 7.239805
1.330000 4.317945 5.158852 5.965199 5.940198 6.673319 7.507772
1.380000 4.507884 5.372428 6.180143 6.155646 6.880765 7.732958
1.430000 4.725641 5.581842 6.395908 6.366454 7.088384 7.945616
1.500000 5.002711 5.879642 6.701554 6.660512 7.372450 8.215328
1.550000 5.299075 6.072514 6.908633 6.878237 7.591338 8.420716
1.600000 5.573812 6.323266 7.135937 7.106333 7.803736 8.644168
1.650000 5.818424 6.551267 7.369221 7.337968 8.011357 8.865626
1.700000 6.033297 6.822990 7.602736 7.576171 8.225712 9.099202
1.750000 6.281423 7.098546 7.854035 7.822805 8.477089 9.310100
1.800000 6.571716 7.363136 8.115451 8.072405 8.743186 9.563562
1.850000 6.797808 7.649432 8.371604 8.331137 8.995896 9.831368
1.900000 7.043836 7.890743 8.620839 8.573005 9.240788 9.985652
2.010000 7.406507 8.320754 9.067040 9.017361 9.710773 10.357022
2.030000 7.478324 8.424787 9.146914 9.112541 9.810822 10.437759
2.080000 7.701500 8.655644 9.360663 9.335221 10.029843 10.613535
2.130000 8.003644 8.905283 9.588864 9.561010 10.249533 10.804217
2.180000 8.305209 9.158229 9.832473 9.799355 10.474297 10.999858
2.255000 8.798719 9.530580 10.177949 10.157956 10.802264 11.277078
2.330000 9.218319 9.921880 10.517917 10.510294 11.116259 11.561312
2.380000 9.517890 10.214189 10.789160 10.769106 11.357611 11.798442
2.430000 9.988713 10.520192 11.061593 11.043865 11.604817 12.033905
2.480000 10.289947 10.849354 11.345840 11.342994 11.860551 12.231322
2.510000 10.573960 11.090713 11.580877 11.552802 12.038776 12.402005
2.560000 11.036295 11.494887 11.918187 11.906612 12.335941 12.699842
2.610000 11.431485 11.849065 12.257411 12.243206 12.629120 12.959945
2.660000 11.858871 12.167030 12.544255 12.543874 12.913103 13.230064
2.710000 12.124612 12.477872 12.819018 12.824532 13.165668 13.489540
2.760000 12.422650 12.751565 13.113533 13.113551 13.472957 13.838842
2.810000 12.727934 13.067749 13.414397 13.414539 13.768132 14.111732
2.860000 12.979370 13.374736 13.724699 13.715608 14.063478 14.359415
2.910000 13.251024 13.668489 14.018456 14.004433 14.349415 14.649283
3.000000 13.748607 14.195446 14.527723 14.514727 14.855209 15.142602
3.050000 14.072077 14.458588 14.793252 14.783172 15.103625 15.425198
3.100000 14.479396 14.790113 15.104999 15.098950 15.402432 15.746369
3.150000 14.803407 15.145926 15.466784 15.462749 15.760580 16.123234
3.200000 15.269748 15.613083 15.961940 16.004956 16.392681 17.027123
3.250000 16.027064 16.486838 17.044280 17.053681 17.614536 18.142328
3.300000 16.497712 17.031455 17.585526 17.623439 18.235337 18.896268
3.350000 16.835045 17.399176 18.028018 18.062512 18.763556 19.477663
3.400000 17.137655 17.675423 18.410359 18.444880 19.242949 19.927178
3.450000 17.334552 17.989559 18.795018 18.820754 19.661292 20.316631
3.500000 17.585032 18.302277 19.153673 19.166660 20.055090 20.638720
3.530000 17.762936 18.477862 19.389468 19.363672 20.247309 20.819003
3.580000 18.119799 18.793335 19.726442 19.679277 20.527794 21.054704
3.630000 18.389976 19.133859 20.053000 20.000932 20.826811 21.273697
