depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 0.553040 1.787272 3.674228 3.285170 4.460254 4.921538
0.100000 1.715622 3.093018 4.365534 4.115016 5.016405 5.449904
0.200000 3.061693 4.334713 5.143595 4.978043 5.587408 5.969796
0.300000 5.533199 5.784601 6.015806 6.016781 6.249817 6.488433
0.400000 6.282562 6.638994 7.170029 7.349440 8.080280 9.485173
0.500000 8.064546 9.185843 10.648482 10.431334 11.518813 12.251046
0.600000 12.175454 12.620945 13.070397 13.063392 13.497514 13.876994
0.700000 13.086996 13.440801 13.816538 13.804174 14.160384 14.488727
0.800000 13.711328 14.081416 14.430311 14.418196 14.774655 15.038034
0.900000 14.596633 14.890124 15.223674 15.204255 15.504069 15.768944
1.000000 15.368971 15.704969 16.034972 16.044940 16.357706 16.778379
1.100000 16.169829 16.550846 17.036646 17.108483 17.646406 18.499734
1.200000 16.815776 17.391845 18.060934 18.150828 18.892715 19.978803
1.300000 17.678134 18.449935 19.124868 19.185826 19.973211 20.819980
1.400000 18.431893 19.394492 20.127648 20.197132 21.039402 22.073249
1.500000 19.187249 20.245706 21.119974 21.121645 21.811893 23.785555
1.600000 20.258151 21.307838 22.007233 22.060799 22.630861 24.926488
1.700000 22.185831 22.559622 23.008825 23.383050 24.436428 26.159896
1.800000 22.817212 23.125135 23.663738 24.262935 26.006640 26.906546
1.900000 23.230919 23.599614 24.293025 24.956378 26.677232 27.549446
2.000000 23.653345 24.113498 25.118703 25.549613 27.145188 27.968542
2.100000 24.089938 24.661370 25.927403 26.111127 27.620172 28.458173
2.200000 24.582801 25.225829 26.477918 26.628084 28.086084 28.878351
2.300000 25.222044 25.833155 27.100008 27.177353 28.496483 29.355101
2.400000 25.834983 26.487933 27.840598 27.777571 28.965955 29.851954
2.500000 26.503013 27.269016 28.635682 28.462605 29.473851 30.179030
2.600000 27.373559 28.131918 29.284808 29.143909 29.978143 30.606522
2.700000 28.116705 28.952132 29.907051 29.777335 30.471456 31.034580
2.800000 28.973129 29.707720 30.478575 30.381478 30.941355 31.466290
2.900000 29.870148 30.483482 31.035026 30.981075 31.453862 31.921350
3.000000 30.375903 30.978818 31.487810 31.452440 31.886760 32.419048
3.100000 30.844899 31.436786 31.919616 31.896847 32.309049 32.880712
3.200000 31.273956 31.889928 32.353799 32.334874 32.753357 33.289244
3.300000 31.707659 32.306543 32.801245 32.766260 33.193276 33.715333
3.400000 32.213172 32.767176 33.206313 33.209283 33.620133 34.131496
3.500000 32.696695 33.244282 33.664857 33.691834 34.110970 34.717107
3.600000 33.229460 33.774432 34.191432 34.228241 34.670823 35.272669
3.700000 33.853039 34.382836 34.872205 34.930997 35.482986 36.094618
3.800000 34.362286 34.965000 35.627893 35.667557 36.337621 36.993060
3.900000 35.192814 35.827456 36.578408 36.615752 37.353837 38.058934
4.000000 35.953902 36.811317 37.574314 37.554097 38.260324 38.880461
4.100000 37.085653 37.936481 38.570447 38.546977 39.101164 39.824257
4.200000 38.552138 39.067057 39.579753 39.680610 40.290224 41.241196
4.300000 39.345427 39.798189 40.397169 40.529471 41.303412 42.090522
4.400000 39.934288 40.471894 41.162246 41.277024 42.111431 42.903330
