depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.020000 0.413190 0.523919 0.655411 0.658925 0.795420 0.946972
0.100000 0.748277 0.910390 1.157683 1.277452 1.678192 2.412203
0.200000 1.149482 1.361475 1.928170 2.065294 2.781853 3.742249
0.300000 1.544264 1.930464 2.794411 2.882890 3.784203 5.003661
0.400000 2.023788 2.548800 3.648845 3.729092 4.792980 6.214063
0.500000 2.525487 3.344046 4.564856 4.610058 5.827639 7.009053
0.600000 3.133952 4.196383 5.558384 5.538510 6.875411 7.906434
0.700000 4.057796 5.201408 6.587240 6.509810 7.707443 8.799996
0.800000 5.029729 6.258512 7.498411 7.443472 8.599791 9.601238
0.900000 5.984401 7.267804 8.533667 8.448934 9.665304 10.516747
1.000000 7.196756 8.432639 9.665600 9.546190 10.628158 11.425139
1.100000 8.478226 9.739101 10.936968 10.797502 11.808024 12.499784
1.200000 10.316704 11.331793 12.110488 12.029930 12.717055 13.175199
1.300000 11.636810 12.305534 12.893997 12.844355 13.360430 13.757094
1.400000 12.459701 13.029544 13.518791 13.476869 13.903970 14.288488
1.500000 13.172423 13.618380 14.052926 14.035479 14.453567 14.764537
1.600000 13.709713 14.175397 14.509148 14.511091 14.881170 15.185097
1.700000 14.304099 14.648031 14.967106 14.974154 15.336227 15.620688
1.800000 14.776854 15.109717 15.446840 15.455303 15.786627 16.184005
1.900000 15.263599 15.589899 16.001209 16.019363 16.433623 16.942036
2.000000 16.401493 16.755111 17.131044 17.141826 17.558859 17.918283
2.015000 16.512662 16.898092 17.275963 17.278184 17.688332 18.063664
2.157500 17.326291 17.946998 18.737004 18.937390 20.085736 21.470241
2.300000 18.109867 19.227390 20.487408 20.483978 21.769699 22.711091
2.400000 18.701676 20.167965 21.423206 21.339724 22.496480 23.249811
2.500000 19.556221 21.181445 22.230308 22.113060 23.036749 23.784470
2.600000 20.406548 22.028798 22.843525 22.748018 23.564204 24.357496
2.700000 21.131320 22.495026 23.326486 23.255293 24.053666 24.855084
2.800000 21.708548 22.901373 23.748311 23.712882 24.537506 25.376498
2.900000 22.298267 23.325794 24.138318 24.131058 24.979045 25.765429
3.000000 22.691933 23.659504 24.582219 24.543356 25.418877 26.128227
3.100000 23.039281 24.019149 24.999339 24.925223 25.802910 26.469295
3.200000 23.378319 24.409089 25.399200 25.293351 26.166308 26.807144
3.300000 23.709156 24.744415 25.799146 25.665194 26.526540 27.117481
3.400000 24.067820 25.110835 26.149093 26.027078 26.853624 27.464674
3.500000 24.408577 25.513801 26.515287 26.393347 27.181013 27.808627
3.600000 24.776485 25.892388 26.884246 26.762862 27.530857 28.162775
3.700000 25.072977 26.298212 27.245178 27.127400 27.893086 28.462030
3.800000 25.440753 26.792435 27.604835 27.494411 28.241722 28.823100
3.900000 25.767057 27.224350 27.949719 27.859228 28.580874 29.163883
4.000000 26.040711 27.607088 28.302238 28.212665 28.937507 29.543018
4.100000 26.354908 27.974582 28.645303 28.562032 29.311245 29.902274
4.200000 26.692054 28.299643 28.979644 28.895632 29.656530 30.248334
4.300000 26.975229 28.650789 29.308130 29.225211 29.966522 30.588029
4.400000 27.329333 28.970078 29.607042 29.540793 30.258208 30.927456
4.500000 27.586308 29.315401 29.927408 29.865992 30.572533 31.325097
4.600000 27.932411 29.654168 30.230757 30.190479 30.883309 31.678316
4.700000 28.268168 29.953538 30.552702 30.502546 31.180932 32.012096
4.800000 28.577134 30.254898 30.861386 30.819164 31.512734 32.404043
4.900000 28.922427 30.591789 31.168908 31.143929 31.838544 32.706881
5.000000 29.241568 30.889028 31.494803 31.476726 32.168159 33.108736
5.100000 29.581697 31.229981 31.840829 31.828907 32.521524 33.471666
5.200000 29.958464 31.561546 32.172014 32.190719 32.908191 33.836390
5.300000 30.287712 31.893034 32.517198 32.556822 33.315120 34.332226
5.400000 30.698562 32.230090 32.879059 32.938545 33.723047 34.754500
5.500000 31.090784 32.557188 33.249004 33.336684 34.175496 35.205320
5.600000 31.554510 32.955543 33.693549 33.793719 34.731183 35.733052
