depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 3.246714 3.715294 4.121344 4.121251 4.544460 5.033876
0.050000 4.080119 4.542885 5.173746 5.294809 6.051207 7.273591
0.100000 4.817046 5.547584 6.617104 6.699755 7.851097 9.097456
0.150000 6.023287 7.159089 8.402216 8.454232 9.930046 10.859420
0.200000 8.120575 9.279615 10.678294 10.445445 11.496452 12.010847
0.250000 9.287367 10.788174 11.721069 11.552897 12.297958 12.801831
0.350000 12.241652 12.749143 13.246774 13.231088 13.740395 14.241366
0.400000 12.908735 13.354859 13.836827 13.849323 14.349562 14.827873
0.450000 13.486142 13.898312 14.385388 14.393349 14.900341 15.417065
0.550000 14.370971 14.837915 15.378491 15.487029 16.195501 16.929069
0.625000 15.310681 15.901230 16.845111 16.960230 17.996160 19.491869
0.700000 16.633458 17.508292 18.546823 18.663171 19.853169 21.062098
0.750000 17.242991 18.342369 19.649124 19.698716 21.185442 22.028023
0.800000 17.677576 19.104701 20.964065 20.725294 22.285976 22.933819
0.850000 18.190077 19.821808 22.242852 21.606849 23.166716 23.692568
0.900000 18.899963 20.427379 22.830000 22.283479 23.769999 24.417073
1.000000 20.214253 21.537459 23.904887 23.400758 24.810639 25.508661
1.050000 20.891045 22.239925 24.426105 23.982016 25.313934 26.025732
1.100000 21.445850 22.895484 24.944227 24.564159 25.818799 26.475913
1.150000 22.196297 23.729550 25.454047 25.169427 26.389301 27.081705
1.200000 22.875089 24.553577 25.959210 25.800987 26.978524 27.734046
1.250000 23.735643 25.326769 26.554347 26.435709 27.521711 28.406364
1.300000 24.517752 26.127656 27.216415 27.121306 28.146296 29.109321
1.350000 25.331819 26.825943 27.856519 27.790241 28.797884 29.849221
1.400000 26.443275 27.511181 28.553558 28.500725 29.511495 30.430251
1.450000 27.149822 28.095552 29.195783 29.142572 30.169854 31.002156
1.500000 27.608982 28.643901 29.852083 29.752306 30.784043 31.477412
1.550000 28.094860 29.201363 30.457054 30.334029 31.342754 32.036901
1.600000 28.699542 29.839293 31.099299 30.931174 31.921333 32.528363
1.650000 29.297833 30.520916 31.634298 31.490370 32.395408 32.955259
1.700000 29.922560 31.160015 32.199462 32.039770 32.850683 33.354756
1.750000 30.618523 31.862647 32.699555 32.581879 33.310287 33.793006
1.800000 31.249848 32.514717 33.203605 33.108600 33.737830 34.159779
1.900000 32.692501 33.589159 34.058907 34.006581 34.475086 34.841234
1.950000 33.654203 34.161768 34.531861 34.506429 34.868821 35.223326
2.000000 34.465573 34.778449 35.056431 35.063288 35.366052 35.666092
