depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.100000 0.265998 0.513166 0.705831 0.706638 0.909364 1.096596
0.125000 0.402627 0.625597 0.810828 0.813918 1.011012 1.198421
0.200000 0.678062 0.883362 1.124639 1.182502 1.452142 2.141571
0.300000 0.983134 1.212678 1.570860 1.664093 2.145542 2.915371
0.400000 1.273132 1.585404 2.058680 2.178484 2.833185 3.626104
0.500000 1.551509 1.956649 2.614759 2.684721 3.415488 4.308709
0.600000 1.875061 2.395082 3.168292 3.210301 4.008321 4.900528
0.700000 2.206356 2.822250 3.726218 3.758406 4.609694 5.689397
0.800000 2.596810 3.445145 4.316379 4.362020 5.252408 6.452142
0.900000 3.050012 4.016853 4.948106 4.973486 5.944721 6.985815
1.000000 3.460738 4.573349 5.537844 5.560420 6.613226 7.574721
1.100000 3.998239 5.129471 6.174561 6.187741 7.284530 8.099271
1.200000 4.551745 5.756028 6.941190 6.848166 7.899745 8.710179
1.300000 5.177021 6.368608 7.753868 7.553124 8.605790 9.456481
1.350000 5.559715 6.634178 8.042068 7.857169 8.925581 9.849442
1.390000 5.730164 6.856579 8.267782 8.078306 9.164293 10.039283
1.450000 6.015315 7.220980 8.595844 8.435061 9.493056 10.341885
1.500000 6.408474 7.638543 8.862034 8.737385 9.818189 10.623519
1.510000 6.452909 7.692646 8.906576 8.788609 9.878633 10.664948
1.550000 6.716437 7.970380 9.171176 9.047951 10.094629 10.896385
1.600000 7.118323 8.357992 9.523870 9.386369 10.384880 11.081902
1.700000 8.474507 9.471301 10.489416 10.334567 11.130103 11.636668
1.800000 9.443871 10.440589 11.253001 11.136993 11.757284 12.187336
1.900000 10.503582 11.233791 11.807886 11.754900 12.282482 12.670462
2.000000 11.213421 11.845373 12.338183 12.305325 12.746221 13.183904
2.100000 11.986191 12.464196 12.901439 12.878726 13.307045 13.674049
2.200000 12.507119 12.952607 13.385302 13.361595 13.771754 14.120134
2.250000 12.733678 13.207198 13.638190 13.602967 14.009303 14.311501
2.300000 12.875830 13.408255 13.852737 13.821552 14.233482 14.594449
2.350000 13.049538 13.623416 14.071935 14.037337 14.457962 14.780525
2.400000 13.296397 13.847101 14.311421 14.272537 14.709367 15.005186
2.450000 13.469967 14.131049 14.606682 14.556981 15.003696 15.279707
2.490000 13.616422 14.310179 14.806853 14.751828 15.197568 15.483426
2.500000 13.657295 14.355748 14.853327 14.792825 15.230362 15.547759
2.550000 14.111864 14.624460 15.067904 15.028075 15.408851 15.725065
2.600000 14.532746 14.941386 15.298708 15.277795 15.607513 15.936884
2.650000 14.828596 15.184756 15.494742 15.484911 15.787076 16.115743
2.700000 15.135031 15.440253 15.700766 15.708434 15.985807 16.290726
2.750000 15.394455 15.631572 15.901851 15.913643 16.202339 16.471140
2.800000 15.589772 15.805258 16.093475 16.109715 16.401344 16.746976
2.850000 15.734944 15.972442 16.296981 16.320273 16.638433 17.144561
2.900000 15.889901 16.119890 16.487457 16.522227 16.870209 17.507608
2.950000 16.004859 16.257130 16.655113 16.723805 17.156304 17.947723
2.995000 16.122720 16.378089 16.845664 16.924219 17.437382 18.256449
3.050000 16.266976 16.541393 17.058000 17.163991 17.736237 18.722820
3.100000 16.375150 16.659020 17.206582 17.360896 18.004154 19.151711
3.150000 16.488037 16.775839 17.366328 17.538135 18.272999 19.499263
3.200000 16.618212 16.899024 17.519796 17.709289 18.518786 19.744294
3.250000 16.741018 17.019416 17.653681 17.869624 18.737105 20.049234
3.300000 16.860224 17.121429 17.786687 18.023952 18.947592 20.325244
3.350000 16.957258 17.247603 17.937105 18.174519 19.149207 20.555040
3.400000 17.060151 17.368579 18.066157 18.323768 19.316701 20.781805
3.450000 17.178555 17.482893 18.217735 18.463770 19.480877 20.940190
3.500000 17.303282 17.607336 18.371140 18.600045 19.645355 21.047682
3.550000 17.415665 17.732926 18.518727 18.740248 19.784576 21.160353
3.600000 17.529157 17.869930 18.657295 18.876594 19.931845 21.340976
3.700000 17.764837 18.115352 18.945704 19.126602 20.187928 21.631822
3.800000 18.005159 18.379789 19.204286 19.376162 20.417738 21.840197
3.900000 18.252023 18.623959 19.448181 19.626485 20.662071 22.130503
4.000000 18.468713 18.879341 19.723982 19.875718 20.916370 22.342493
4.100000 18.719418 19.139205 19.996148 20.130876 21.123707 22.583445
4.240500 19.050774 19.467170 20.335279 20.467026 21.442775 22.844370
4.381000 19.389954 19.844685 20.699064 20.797459 21.753635 23.064021
4.521500 19.682981 20.186069 21.025216 21.135864 22.050473 23.319354
4.662000 20.039494 20.557672 21.381464 21.469215 22.360319 23.577510
4.802500 20.389173 20.898821 21.736413 21.809389 22.683590 23.846571
4.943000 20.731873 21.267555 22.081044 22.153122 22.976374 24.054849
5.083500 21.067255 21.629009 22.441332 22.487597 23.276578 24.324779
5.224000 21.396294 22.013470 22.777275 22.825866 23.607812 24.606034
5.364500 21.771632 22.382985 23.129358 23.162716 23.911414 24.883536
5.505000 22.122066 22.736062 23.457543 23.492920 24.222730 25.164141
5.645500 22.556446 23.140652 23.798827 23.833640 24.514293 25.424670
5.786000 22.905011 23.518230 24.164521 24.180323 24.838094 25.715686
5.926500 23.321564 23.917176 24.489641 24.528576 25.150727 25.919844
6.067000 23.700600 24.345965 24.861710 24.886530 25.462483 26.125317
6.207500 24.115472 24.720054 25.210747 25.239084 25.783826 26.405547
6.348000 24.515589 25.081085 25.583605 25.582297 26.083512 26.620511
6.488500 24.983078 25.458088 25.924007 25.927529 26.397603 26.925451
6.629000 25.404719 25.860407 26.264595 26.272290 26.694864 27.182903
6.769500 25.957299 26.283504 26.632434 26.642624 26.994778 27.419766
6.910000 26.461824 26.723693 27.032403 27.044652 27.349477 27.692879
