depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.050000 2.174678 2.475052 2.745911 2.739484 3.006694 3.288509
0.150000 3.116897 3.643918 4.370840 4.829584 6.387518 7.865573
0.250000 4.744771 5.714887 7.864603 7.619231 9.205681 10.412940
0.350000 8.358256 9.839867 11.332125 11.202500 12.448320 13.545679
0.450000 13.256680 14.806716 15.325573 15.211199 15.706195 16.068134
0.550000 14.904085 15.588829 16.056467 16.027458 16.504193 16.956240
0.650000 15.895089 16.312594 16.754414 16.769598 17.222968 17.772506
0.750000 16.796247 17.166318 17.585520 17.619985 18.082022 18.649058
0.850000 17.513037 17.982150 18.468852 18.468784 18.954270 19.438080
0.950000 18.283209 18.805152 19.279545 19.273573 19.758845 20.221461
1.050000 19.118415 19.663939 20.095709 20.088214 20.516809 20.923615
1.150000 20.103410 20.522818 20.886645 20.877243 21.233157 21.537687
1.250000 21.168137 21.399948 21.679813 21.662318 21.898830 22.149146
1.350000 21.865926 22.150504 22.456085 22.476799 22.784800 23.313920
1.450000 22.550764 22.890186 23.225424 23.281389 23.659260 24.217432
1.550000 23.134348 23.589118 24.026101 24.076483 24.528277 25.188880
1.650000 23.884976 24.266780 24.779818 24.853453 25.401484 26.259424
1.750000 24.560679 24.993376 25.572281 25.695386 26.337115 27.552460
1.850000 25.199390 25.716693 26.465572 26.662916 27.512230 29.882054
1.950000 25.939999 26.587818 27.452089 27.792543 28.999621 31.504370
2.050000 26.823060 27.521798 28.537990 28.950032 30.502027 32.846688
